w,a,s;W,AA,Z;s; AA
n,e,v,e,r;N,e,V,ǝ,R;s; 
s,o;S,OW;s; 
th,ou;DH,AW;s; 
d,o,s,t;D,AA,S,T;s; AA
o,v,e,r,w,ee,n;OW,V,ǝ,R,W,IY,N;s; IY
i,n;IH,N;s; IH
a,ll;AA,L;s; AA
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
i,n;IH,N;s; IH
th,i,s;DH,IH,S;s; IH
t,o;T,UW;s; UW
b,ea,r;B,EH,R;s; 
m,e;M,IY;s; IY
d,o,w,n;D,ǝ,UH,N;s; UH
w,i,th;W,IH,DH;s; IH
n,o,t;N,AA,T;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
a;AH;s; 
y,ea,r;Y,IH,R;s; IH
o,r;AO,R;s; AO
m,e;M,IY;s; IY
l,e,ss;L,EH,S;s; 
o,r;AO,R;s; AO
th,ee;DH,IY;s; IY
i;AY;s; AY
a,m;AE,M;s; AE
a,s;AE,Z;s; AE
a,n,d;AH,N,D;s; 
a,s;AE,Z;s; AE
f,i,t;F,IH,T;s; IH
a,s;AE,Z;s; AE
th,ou;DH,AW;s; 
t,o;T,UW;s; UW
s,e,ve;S,ER,V;s; 
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
m,y;M,AY;s; AY
u,p,o,n;AH,P,AA,N;s; AA
th,ee;DH,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
a,pp,p,r,ve;AH,P,R,UW,V;s; UW
a,n,d;AH,N,D;s; 
p,l,ea,d;P,L,IY,D;s; IY
m,y;M,AY;s; AY
p,a,ss,io,n,s;P,AE,SH,AH,N,Z;s; AE
f,o,r;F,AO,R;s; AO
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
s,k,i,ll;S,K,IH,L;s; IH
i;AY;s; AY
f,u,ll;F,UH,L;s; UH
w,e,ll;W,EH,L;s; 
sh,a,l,t;SH,AE,L,T;s; AE
th,ou;DH,AW;s; 
p,e,r,c,ve;P,ER,S,IY,V;s; IY
i;AY;s; AY
f,o,r;F,AO,R;s; AO
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
a,m;AE,M;s; AE
a,n,d;AH,N,D;s; 
f,u,ll;F,UH,L;s; UH
th,a,t;DH,AE,T;s; AE
w,i,th;W,IH,DH;s; IH
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
w,ea,p,o,n;W,EH,P,AH,N;s; 
p,e,r,f,o,r,m;P,ǝ,R,F,AO,R,M;s; AO
i;AY;s; AY
n,o,t;N,AA,T;s; AA
i;AY;s; AY
sh,e;SH,IY;s; IY
a,n,d;AH,N,D;s; 
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
i;AY;s; AY
th,a,n;DH,AE,N;s; AE
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
aa,r,o,n;EH,R,AH,N;s; 
a;AH;s; 
i;AY;s; AY
t,o;T,UW;s; UW
wh,o,m;HH,UW,M;s; UW
i;AY;s; AY
s,o;S,OW;s; 
th,e;DH,AH;s; 
t,u,r,n;T,ɐ,R,N;s; 
w,re;W,ER;s; 
f,ai,th;F,EY,TH;s; EY
n,o,t;N,AA,T;s; AA
m,e;M,IY;s; IY
l,a,d;L,AE,D;s; AE
o,f;AH,V;s; 
n,o;N,OW;s; 
a,n,d;AH,N,D;s; 
th,i,s;DH,IH,S;s; IH
f,o,r;F,AO,R;s; AO
m,e;M,IY;s; IY
h,me;OW,M;s; 
t,o;T,UW;s; UW
m,y;M,AY;s; AY
s,t,r,e,n,g,th;S,T,R,EH,NG,K,TH;s; 
a,n,d;AH,N,D;s; 
i,f;IH,F;s; IH
sh,e;SH,IY;s; IY
d,o;D,OW;s; 
i;AY;s; AY
i;AY;s; AY
w,re;W,ER;s; 
a,n;AE,N;s; AE
d,r,a,g;D,R,AE,G;s; AE
t,o;T,UW;s; UW
s,e,c,r,e,t;S,IY,K,R,AH,T;s; IY
h,le;OW,L;s; 
a,n,d;AH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
d,ea,d;D,EH,D;s; 
t,r,u,n,k;T,r,ɤ,NG,K;s; 
t,o;T,UW;s; UW
ou,r;OW,R;s; 
l,u,s,t;L,AH,S,T;s; 
i;AY;s; AY
w,a,rr,a,n,t;W,AA,r,ǝ,N,T;s; AA
y,ou;Y,UW;s; UW
m,a,d,a,m;M,AE,D,AH,M;s; AE
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
th,a,t;DH,AE,T;s; AE
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
p,e,r,f,o,ce;P,ER,F,AO,R,S;s; AO
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
th,a,t;DH,AE,T;s; AE
o,f;AH,V;s; 
y,ou,r,s;Y,UH,R,Z;s; UH
wh,a,t;W,AH,T;s; 
th,ou;DH,AW;s; 
m,e;M,IY;s; IY
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
a;AH;s; 
th,e,n;DH,EH,N;s; 
s,t,o,p;S,T,AA,P;s; AA
y,ou,r;Y,AO,R;s; AO
th,ou;DH,AW;s; 
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
h,le;OW,L;s; 
aa,r,o,n;EH,R,AH,N;s; 
b,i,d;B,IH,D;s; IH
u,s;AH,S;s; 
h,i,m;HH,IH,M;s; IH
d,o,w,n;D,ǝ,UH,N;s; UH
s,o;S,OW;s; 
a,n;AE,N;s; AE
i,f;IH,F;s; IH
s,t,u,m,p,s;S,T,ɤ,M,P,S;s; 
w,i,ll;W,IH,L;s; IH
l,e,t;L,EH,T;s; 
th,ee;DH,IY;s; IY
th,e;DH,AH;s; 
g,o;G,OW;s; 
h,me;OW,M;s; 
c,a,ll;K,AO,L;s; AO
f,o,r;F,AO,R;s; AO
s,w,ee,t;S,W,IY,T;s; IY
w,a,t,e,r;W,AA,T,ǝ,R;s; AA
w,a,sh;W,AA,SH;s; AA
a,n;AE,N;s; AE
m,y;M,AY;s; AY
i;AY;s; AY
g,o;G,OW;s; 
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
th,e;DH,AH;s; 
s,o,n;S,AO,̃;s; AO
o,f;AH,V;s; 
l,u,c,iu,s;L,UW,SH,AH,S;s; UW
h,e;HH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
t,o;T,UW;s; UW
d,e,l,i,v,e,r;D,IH,L,IH,V,ǝ,R;s; IH,IH
u,s;AH,S;s; 
o;OW;s; 
a;AH;s; 
i,n;IH,N;s; IH
h,o,r,ce;ɒ,r,IH,S;s; IH
i;AY;s; AY
i,t;IH,T;s; IH
w,e,ll;W,EH,L;s; 
i;AY;s; AY
r,ea,d;r,e,D;s; 
i,t;IH,T;s; IH
i,n;IH,N;s; IH
th,e;DH,AH;s; 
a,g,o;ǝ,ɡ,OW;s; 
a;AH;s; 
w,i,sh;W,IH,SH;s; IH
a,n,d;AH,N,D;s; 
f,u,ll;F,UH,L;s; UH
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
sh,e;SH,IY;s; IY
f,o,r;F,AO,R;s; AO
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
h,a,th;HH,AE,TH;s; AE
a;AH;s; 
s,o,n;S,AO,̃;s; AO
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
ou,r;OW,R;s; 
i,t;IH,T;s; IH
sh,a,ll;SH,AE,L;s; AE
n,o,t;N,AA,T;s; AA
w,i,ll;W,IH,L;s; IH
f,o,r;F,AO,R;s; AO
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
b,l,u,sh;B,L,ɤ,SH;s; 
t,o;T,UW;s; UW
th,i,n,k;TH,IH,NG,K;s; IH
u,p,o,n;AH,P,AA,N;s; AA
th,i,s;DH,IH,S;s; IH
aa,r,o,n;EH,R,AH,N;s; 
i;AY;s; AY
s,ee;S,IY;s; IY
th,ou;DH,AW;s; 
w,i,l,t;W,IH,L,T;s; IH
n,o,t;N,AA,T;s; AA
t,r,u,s,t;T,r,ɤ,S,T;s; 
th,e;DH,AH;s; 
ai,r;EH,R;s; 
w,i,th;W,IH,DH;s; IH
s,e,c,r,e,t,s;S,IY,K,R,AH,T,S;s; IY
m,e;M,IY;s; IY
a;AH;s; 
v,i,ll,ai,n;V,IH,L,AH,N;s; IH
th,a,t;DH,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
a;AH;s; 
a,n,d;AH,N,D;s; 
i;AY;s; AY
a,m;AE,M;s; AE
s,e,n,t;S,EH,N,T;s; 
t,o;T,UW;s; UW
b,e;B,IY;s; IY
o,n;AA,N;s; AA
h,i,m;HH,IH,M;s; IH
t,e,ll;T,EH,L;s; 
u,s;AH,S;s; 
o,l,d;OW,L,D;s; 
m,a,n;M,AE,N;s; AE
sh,a,ll;SH,AE,L;s; AE
w,e;W,IY;s; IY
b,e;B,IY;s; IY
v,i,ll,ai,n,s;V,IH,L,AH,N,Z;s; IH
f,o,r,b,ea,r;F,ǝ,R,B,EH,R;s; 
w,e;W,IY;s; IY
th,e;DH,AH;s; 
s,o,n,s;S,AH,N,Z;s; 
