to,'T UW', s, UW
the,'DH AH', s, 
good,'G UH D', s, UH
and,'AH N D', s, 
his,'HH IH Z', s, IH
return,'r IH T ɐ R N', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
will,'W IH L', s, IH
whom,'HH UW M', s, UW
he,'HH IY', s, IY
admits,'AH D M IH T S', s, IH
lucius,'L UW SH AH S', s, UW
all,'AA L', s, AA
hail,'HH EY L', s, EY
lucius,'L UW SH AH S', s, UW
all,'AA L', s, AA
hail,'HH EY L', s, EY
you,'Y UW', s, UW
sad,'S AE D', s, AE
with,'W IH DH', s, IH
woes,'W OW Z', s, 
on,'AA N', s, AA
this,'DH IH S', s, IH
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
breeder,'B r IY D ə R', s, IY
of,'AH V', s, 
events,'IH V EH N T S', s, IH
