hail,'HH EY L', s, EY
in,'IH N', s, IH
weeds,'W IY D Z', s, IY
lo,'L OW', s, 
as,'AE Z', s, AE
the,'DH AH', s, 
bark,'B AA R K', s, AA
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
his,'HH IH Z', s, IH
returns,'r IH T ɐ R N Z', s, IH
with,'W IH DH', s, IH
precious,'P R EH SH AH S', s, 
to,'T UW', s, UW
the,'DH AH', s, 
from,'F R AH M', s, 
at,'AE T', s, AE
she,'SH IY', s, IY
with,'W IH DH', s, IH
laurel,'L AO R AH L', s, AO
to,'T UW', s, UW
his,'HH IH Z', s, IH
country,'K AH N T R IY', s, IY
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
tears,'T EH R Z', s, 
tears,'T EH R Z', s, 
of,'AH V', s, 
true,'T R UW', s, UW
for,'F AO R', s, AO
his,'HH IH Z', s, IH
return,'r IH T ɐ R N', s, IH
to,'T UW', s, UW
thou,'DH AW', s, 
great,'G r e T', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
stand,'S T AE N D', s, AE
to,'T UW', s, UW
the,'DH AH', s, 
that,'DH AE T', s, AE
we,'W IY', s, IY
intend,'IH N T EH N D', s, IH
romans,'R OW M AH N Z', s, 
of,'AH V', s, 
sons,'S AH N Z', s, 
of,'AH V', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
had,'HH AE D', s, AE
behold,'B IH HH OW L D', s, IH
the,'DH AH', s, 
poor,'P UH R', s, UH
remains,'r IH M EH N Z', s, IH
and,'AH N D', s, 
dead,'D EH D', s, 
that,'DH AE T', s, AE
let,'L EH T', s, 
reward,'r IH W AA R D', s, IH AA
with,'W IH DH', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
unto,'AH N T UW', s, UW
their,'DH EH R', s, 
latest,'L EY T AH S T', s, EY
hme,'OW M', s, 
with,'W IH DH', s, IH
their,'DH EH R', s, 
given,'G IH V AH N', s, IH
me,'M IY', s, IY
to,'T UW', s, UW
my,'M AY', s, AY
titus,'T AY T AH S', s, AY
and,'AH N D', s, 
of,'AH V', s, 
whhy,'ʍ ǝ IH', s, IH
thou,'DH AW', s, 
sons,'S AH N Z', s, 
yet,'Y EH T', s, 
to,'T UW', s, UW
on,'AA N', s, AA
the,'DH AH', s, 
dreadful,'D R EH D F AH L', s, 
of,'AH V', s, 
to,'T UW', s, UW
them,'DH EH M', s, 
by,'B AY', s, AY
their,'DH EH R', s, 
greet,'G R IY T', s, IY
in,'IH N', s, IH
as,'AE Z', s, AE
the,'DH AH', s, 
dead,'D EH D', s, 
wont,'W OW N T', s, 
and,'AH N D', s, 
sleep,'S L IY P', s, IY
in,'IH N', s, IH
slain,'S L EH N', s, 
in,'IH N', s, IH
your,'Y AO R', s, AO
wars,'W AO R Z', s, AO
o,'OW', s, 
sacred,'S EY K R AH D', s, EY
of,'AH V', s, 
my,'M AY', s, AY
sweet,'S W IY T', s, IY
cell,'S EH L', s, 
of,'AH V', s, 
and,'AH N D', s, 
sons,'S AH N Z', s, 
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
of,'AH V', s, 
in,'IH N', s, IH
that,'DH AE T', s, AE
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
never,'N e V ǝ R', s, 
render,'r e N D ǝ R', s, 
to,'T UW', s, UW
me,'M IY', s, IY
i,'AY', s, AY
him,'HH IH M', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
noblest,'N OW B L IH S T', s, IH
that,'DH AE T', s, AE
survives,'S ǝ R V ǝ IH V Z', s, IH
the,'DH AH', s, 
eldest,'EH L D AH S T', s, 
son,'S AO ̃', s, AO
of,'AH V', s, 
this,'DH IH S', s, IH
madam,'M AE D AH M', s, AE
and,'AH N D', s, 
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
their,'DH EH R', s, 
whom,'HH UW M', s, UW
your,'Y AO R', s, AO
and,'AH N D', s, 
dead,'D EH D', s, 
and,'AH N D', s, 
for,'F AO R', s, AO
their,'DH EH R', s, 
slain,'S L EH N', s, 
religiously,'R IH L IH JH AH S L IY', s, IH IH IY
ask,'AW S K', s, 
a,'AH', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
your,'Y AO R', s, AO
son,'S AO ̃', s, AO
is,'IH Z', s, IH
and,'AH N D', s, 
he,'HH IY', s, IY
must,'M AH S T', s, 
their,'DH EH R', s, 
that,'DH AE T', s, AE
let,'L EH T', s, 
it,'IH T', s, IH
be,'B IY', s, IY
so,'S OW', s, 
and,'AH N D', s, 
let,'L EH T', s, 
this,'DH IH S', s, IH
his,'HH IH Z', s, IH
latest,'L EY T AH S T', s, EY
to,'T UW', s, UW
their,'DH EH R', s, 
souls,'S OW L Z', s, 
in,'IH N', s, IH
and,'AH N D', s, 
rest,'R EH S T', s, 
you,'Y UW', s, UW
my,'M AY', s, AY
sons,'S AH N Z', s, 
you,'Y UW', s, UW
in,'IH N', s, IH
rest,'R EH S T', s, 
from,'F R AH M', s, 
chances,'CH AE N S AH Z', s, AE
and,'AH N D', s, 
mishaps,'M IH S AW P S', s, IH
no,'N OW', s, 
treason,'T R IY Z AH N', s, IY
no,'N OW', s, 
no,'N OW', s, 
drugs,'D r ɤ G Z', s, 
no,'N OW', s, 
storms,'S T AO R M Z', s, AO
