m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
wh,a,t;W,AH,T;s; 
m,y;M,AY;s; AY
h,ea,r,t,s;HH,AA,R,T,S;s; AA
m,y;M,AY;s; AY
h,ea,r,t,s;HH,AA,R,T,S;s; AA
i,n;IH,N;s; IH
th,e;DH,AH;s; 
t,e,n,d;T,EH,N,D;s; 
t,o;T,UW;s; UW
t,i,ll;T,IH,L;s; IH
th,ou;DH,AW;s; 
b,u,r,s,t;B,ɐ,R,S,T;s; 
i,f;IH,F;s; IH
r,oo,m;R,UW,M;s; UW
i;AY;s; AY
k,ee,p;K,IY,P;s; IY
d,o;D,OW;s; 
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
h,i,m;HH,IH,M;s; IH
y,ou;Y,UW;s; UW
m,a,r;M,AA,R;s; AA
ou,r;OW,R;s; 
k,ee,p;K,IY,P;s; IY
y,ou,r;Y,AO,R;s; AO
c,a,b,i,n,s;K,AE,B,AH,N,Z;s; AE
y,ou;Y,UW;s; UW
d,o;D,OW;s; 
a,ss,i,s,t;AH,S,IH,S,T;s; IH
th,e;DH,AH;s; 
s,t,o,r,m;S,T,AO,R,M;s; AO
wh,e,n;ʍ,e,N;s; 
th,e;DH,AH;s; 
s,ea;S,IY;s; IY
i,s;IH,Z;s; IH
wh,a,t;W,AH,T;s; 
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
t,o;T,UW;s; UW
c,a,b,i,n;K,AE,B,AH,N;s; AE
u,s;AH,S;s; 
n,o,t;N,AA,T;s; AA
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
th,a,n;DH,AE,N;s; AE
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
y,ou;Y,UW;s; UW
a;AH;s; 
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
c,a,n;K,AE,N;s; AE
c,o,mm,a,n,d;K,ǝ,M,AW,N,D;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
w,o,r,k;W,AO,R,K;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
p,r,e,s,e,n,t;P,r,IH,Z,e,N,T;s; IH
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
a;AH;s; 
y,ou,r;Y,AO,R;s; AO
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
th,a,n,k,s;TH,AE,NG,K,S;s; AE
y,ou;Y,UW;s; UW
s,o;S,OW;s; 
a,n,d;AH,N,D;s; 
r,ea,d,y;R,EH,D,IY;s; IY
i,n;IH,N;s; IH
y,ou,r;Y,AO,R;s; AO
c,a,b,i,n;K,AE,B,AH,N;s; AE
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
i,f;IH,F;s; IH
i,t;IH,T;s; IH
s,o;S,OW;s; 
g,oo,d;G,UH,D;s; UH
o,f;AH,V;s; 
ou,r;OW,R;s; 
i;AY;s; AY
d,o,w,n;D,ǝ,UH,N;s; UH
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
t,o,p,m,a,s,t;T,ɒ,P,M,AW,S,T;s; 
l,o,w,e,r;L,OW,·,ǝ,R;s; 
l,o,w,e,r;L,OW,·,ǝ,R;s; 
t,o;T,UW;s; UW
m,ai,n;M,EH,N;s; 
a;AH;s; 
u,p,o,n;AH,P,AA,N;s; AA
th,i,s;DH,IH,S;s; IH
th,a,n;DH,AE,N;s; AE
th,e;DH,AH;s; 
o,r;AO,R;s; AO
ou,r;OW,R;s; 
y,e,t;Y,EH,T;s; 
a,g,ai,n;ǝ,ɡ,EH,N;s; 
wh,a,t;W,AH,T;s; 
d,o;D,OW;s; 
y,ou;Y,UW;s; UW
sh,a,ll;SH,AE,L;s; AE
w,e;W,IY;s; IY
a,n,d;AH,N,D;s; 
d,r,o,w,n;D,r,ǝ,UH,N;s; UH
y,ou;Y,UW;s; UW
a;AH;s; 
t,o;T,UW;s; UW
s,i,n,k;S,IH,NG,K;s; IH
w,o,r,k;W,AO,R,K;s; AO
y,ou;Y,UW;s; UW
th,e,n;DH,EH,N;s; 
a,h,o,l,d;AH,HH,OW,L,D;s; 
a,h,o,l,d;AH,HH,OW,L,D;s; 
s,e,t;S,EH,T;s; 
o,ff;AO,F;s; AO
t,o;T,UW;s; UW
s,ea;S,IY;s; IY
a,g,ai,n;ǝ,ɡ,EH,N;s; 
o,ff;AO,F;s; AO
wh,a,t;W,AH,T;s; 
m,u,s,t;M,AH,S,T;s; 
ou,r;OW,R;s; 
b,e;B,IY;s; IY
c,o,l,d;K,OW,L,D;s; 
th,e;DH,AH;s; 
b,e,s,t;B,EH,S,T;s; 
i,s;IH,Z;s; IH
th,a,t;DH,AE,T;s; AE
w,e;W,IY;s; IY
s,a,f,e,l,y;S,EH,F,L,ǝ,IH;s; IH
ou,r;OW,R;s; 
a,n,d;AH,N,D;s; 
c,o,m,p,a,n,y;K,AH,M,P,AH,N,IY;s; IY
th,e;DH,AH;s; 
ou,r;OW,R;s; 
sh,i,p;SH,IH,P;s; IH
b,u,t;B,AH,T;s; 
g,l,a,ss,e,s;G,L,AE,S,AH,Z;s; AE
w,e;W,IY;s; IY
ou,t;AW,T;s; 
s,p,l,i,t;S,P,L,IH,T;s; IH
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
a,s;AE,Z;s; AE
wh,e,n;ʍ,e,N;s; 
w,e;W,IY;s; IY
p,u,t;P,UH,T;s; UH
ou,t;AW,T;s; 
t,o;T,UW;s; UW
s,ea;S,IY;s; IY
i,f;IH,F;s; IH
i;AY;s; AY
d,i,d;D,IH,D;s; IH
th,i,n,k;TH,IH,NG,K;s; IH
i;AY;s; AY
w,re;W,ER;s; 
