b,e;B,IY;s; IY
c,o,ll,e,c,t,e,d;K,AH,L,EH,K,T,AH,D;s; 
n,o;N,OW;s; 
t,e,ll;T,EH,L;s; 
y,ou,r;Y,AO,R;s; AO
h,ea,r,t;HH,AA,R,T;s; AA
n,o;N,OW;s; 
n,o;N,OW;s; 
i;AY;s; AY
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
o,f;AH,V;s; 
th,ee;DH,IY;s; IY
o,f;AH,V;s; 
th,ee;DH,IY;s; IY
m,y;M,AY;s; AY
d,ea,r;D,IY,R;s; IY
th,ee;DH,IY;s; IY
m,y;M,AY;s; AY
wh,o;HH,UW;s; UW
a,r,t;AA,R,T;s; AA
i,g,n,o,r,a,n,t;IH,G,N,ǝ,r,ǝ,N,T;s; IH
o,f;AH,V;s; 
wh,a,t;W,AH,T;s; 
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
o,f;AH,V;s; 
i;AY;s; AY
a,m;AE,M;s; AE
n,o,r;N,AO,R;s; AO
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
a,m;AE,M;s; AE
b,e,tt,e,r;B,e,T,ə,R;s; 
th,a,n;DH,AE,N;s; AE
p,r,o,s,p,e,r,o;P,r,ɒ,S,P,ǝ,r,OW;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
o,f;AH,V;s; 
a;AH;s; 
f,u,ll;F,UH,L;s; UH
p,oo,r;P,UH,R;s; UH
c,e,ll;S,EH,L;s; 
a,n,d;AH,N,D;s; 
n,o;N,OW;s; 
g,r,ea,t,e,r;G,r,e,T,ǝ,R;s; 
i;AY;s; AY
i,n,f,o,r,m;IH,N,F,AO,R,M;s; IH,AO
th,ee;DH,IY;s; IY
l,e,n,d;L,EH,N,D;s; 
a,n,d;AH,N,D;s; 
p,l,u,ck;P,L,ɤ,K;s; 
m,y;M,AY;s; AY
m,a,g,i,c;M,AE,JH,IH,K;s; AE,IH
g,a,r,m,e,n,t;G,AA,R,M,AH,N,T;s; AA
f,r,o,m;F,R,AH,M;s; 
m,e;M,IY;s; IY
s,o;S,OW;s; 
m,y;M,AY;s; AY
th,ou;DH,AW;s; 
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
th,e;DH,AH;s; 
d,i,r,e,f,u,l;D,ǝ,IH,R,F,UH,L;s; IH,UH
o,f;AH,V;s; 
th,e;DH,AH;s; 
wr,a,ck;R,AE,K;s; AE
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
o,f;AH,V;s; 
i,n;IH,N;s; IH
th,ee;DH,IY;s; IY
i;AY;s; AY
w,i,th;W,IH,DH;s; IH
i,n;IH,N;s; IH
a,r,t;AA,R,T;s; AA
s,o;S,OW;s; 
s,a,f,e,l,y;S,EH,F,L,ǝ,IH;s; IH
th,a,t;DH,AE,T;s; AE
i,s;IH,Z;s; IH
n,o;N,OW;s; 
s,ou,l;S,OW,L;s; 
n,o;N,OW;s; 
n,o,t;N,AA,T;s; AA
s,o;S,OW;s; 
a,s;AE,Z;s; AE
a,n;AE,N;s; AE
h,ai,r;HH,EH,R;s; 
b,e,t,i,d;B,IH,T,IH,D;s; IH,IH
t,o;T,UW;s; UW
c,r,ea,t,re;K,R,IY,CH,ER;s; IY
i,n;IH,N;s; IH
th,e;DH,AH;s; 
v,e,ss,e,l;V,EH,S,AH,L;s; 
th,ou;DH,AW;s; 
th,ou;DH,AW;s; 
s,i,n,k;S,IH,NG,K;s; IH
s,i,t;S,IH,T;s; IH
d,o,w,n;D,ǝ,UH,N;s; UH
f,o,r;F,AO,R;s; AO
th,ou;DH,AW;s; 
m,u,s,t;M,AH,S,T;s; 
th,e;DH,AH;s; 
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
b,i,d,s;B,IH,D,Z;s; IH
th,ee;DH,IY;s; IY
ea,r;IY,R;s; IY
a,n,d;AH,N,D;s; 
b,e;B,IY;s; IY
th,ou;DH,AW;s; 
a;AH;s; 
w,e;W,IY;s; IY
u,n,t,o;AH,N,T,UW;s; UW
th,i,s;DH,IH,S;s; IH
c,e,ll;S,EH,L;s; 
i;AY;s; AY
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
th,i,n,k;TH,IH,NG,K;s; IH
th,ou;DH,AW;s; 
f,o,r;F,AO,R;s; AO
th,e,n;DH,EH,N;s; 
th,ou;DH,AW;s; 
n,o,t;N,AA,T;s; AA
ou,t;AW,T;s; 
y,ea,r,s;Y,IH,R,Z;s; IH
o,l,d;OW,L,D;s; 
b,y;B,AY;s; AY
wh,a,t;W,AH,T;s; 
b,y;B,AY;s; AY
o,r;AO,R;s; AO
o,f;AH,V;s; 
th,e;DH,AH;s; 
t,e,ll;T,EH,L;s; 
m,e;M,IY;s; IY
th,a,t;DH,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
k,e,p,t;K,EH,P,T;s; 
w,i,th;W,IH,DH;s; IH
th,ou;DH,AW;s; 
a,n,d;AH,N,D;s; 
b,u,t;B,AH,T;s; 
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
th,a,t;DH,AE,T;s; AE
th,i,s;DH,IH,S;s; IH
i,n;IH,N;s; IH
wh,a,t;W,AH,T;s; 
th,ou;DH,AW;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
d,a,r,k;D,AA,R,K;s; AA
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
th,ou;DH,AW;s; 
th,ou;DH,AW;s; 
th,ou;DH,AW;s; 
y,ea,r;Y,IH,R;s; IH
y,ea,r;Y,IH,R;s; IH
w,a,s;W,AA,Z;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
m,i,l,a,n;M,AH,L,AA,N;s; AA
a,n,d;AH,N,D;s; 
a;AH;s; 
o,f;AH,V;s; 
w,a,s;W,AA,Z;s; AA
a;AH;s; 
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
sh,e;SH,IY;s; IY
s,ai,d;S,EH,D;s; 
th,ou;DH,AW;s; 
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
w,a,s;W,AA,Z;s; AA
o,f;AH,V;s; 
m,i,l,a,n;M,AH,L,AA,N;s; AA
a,n,d;AH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
o,n,l,y;OW,N,L,IY;s; IY
a,n,d;AH,N,D;s; 
p,r,i,n,c,e,ss;P,R,IH,N,S,EH,S;s; IH
n,o;N,OW;s; 
b,o,th;B,OW,TH;s; 
b,o,th;B,OW,TH;s; 
m,y;M,AY;s; AY
b,y;B,AY;s; AY
a,s;AE,Z;s; AE
th,ou;DH,AW;s; 
w,re;W,ER;s; 
w,e;W,IY;s; IY
b,u,t;B,AH,T;s; 
b,l,e,ss,e,d,l,y;B,L,EH,S,AH,D,L,IY;s; IY
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
i;AY;s; AY
th,ee;DH,IY;s; IY
m,a,r,k;M,AA,R,K;s; AA
a;AH;s; 
b,e;B,IY;s; IY
s,o;S,OW;s; 
wh,o,m;HH,UW,M;s; UW
o,f;AH,V;s; 
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
i;AY;s; AY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
p,u,t;P,UH,T;s; UH
th,e;DH,AH;s; 
o,f;AH,V;s; 
m,y;M,AY;s; AY
a,s;AE,Z;s; AE
a,t;AE,T;s; AE
th,a,t;DH,AE,T;s; AE
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
p,r,o,s,p,e,r,o;P,r,ɒ,S,P,ǝ,r,OW;s; 
th,e;DH,AH;s; 
b,ei,n,g;B,IY,IH,NG;s; IY,IH
s,o;S,OW;s; 
i,n;IH,N;s; IH
d,i,g,n,i,t,y;D,IH,G,N,AH,T,IY;s; IH,IY
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
a,r,t,s;AA,R,T,S;s; AA
a;AH;s; 
p,a,r,a,ll,e,l;P,EH,R,AH,L,EH,L;s; 
b,ei,n,g;B,IY,IH,NG;s; IY,IH
a,ll;AA,L;s; AA
m,y;M,AY;s; AY
s,t,u,d,y;S,T,AH,D,IY;s; IY
th,e;DH,AH;s; 
i;AY;s; AY
c,a,s,t;K,AW,S,T;s; 
u,p,o,n;AH,P,AA,N;s; AA
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
m,y;M,AY;s; AY
b,ei,n,g;B,IY,IH,NG;s; IY,IH
t,r,a,n,s,p,o,r,t,e,d;T,R,AE,N,S,P,AO,R,T,AH,D;s; AE,AO
a,n,d;AH,N,D;s; 
r,a,p,t;R,AE,P,T;s; AE
i,n;IH,N;s; IH
s,e,c,r,e,t;S,IY,K,R,AH,T;s; IY
