when,'ʍ e N', s, 
was,'W AA Z', s, AA
my,'M AY', s, AY
lord,'L AO R D', s, AO
so,'S OW', s, 
to,'T UW', s, UW
stop,'S T AA P', s, AA
his,'HH IH Z', s, IH
ears,'IY R Z', s, IY
against,'AH G EH N S T', s, 
unarm,'AH N AA R M', s, AA
unarm,'AH N AA R M', s, AA
and,'AH N D', s, 
do,'D OW', s, 
not,'N AA T', s, AA
my,'M AY', s, AY
dreams,'D R IY M Z', s, IY
will,'W IH L', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
bloody,'B L AH D IY', s, IY
in,'IH N', s, IH
intent,'IH N T EH N T', s, IH
consort,'K ǝ N S AO R T', s, AO
with,'W IH DH', s, IH
me,'M IY', s, IY
in,'IH N', s, IH
and,'AH N D', s, 
dear,'D IY R', s, IY
we,'W IY', s, IY
him,'HH IH M', s, IH
on,'AA N', s, AA
for,'F AO R', s, AO
i,'AY', s, AY
dreamt,'D R EH M T', s, 
of,'AH V', s, 
bloody,'B L AH D IY', s, IY
and,'AH N D', s, 
this,'DH IH S', s, IH
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
but,'B AH T', s, 
and,'AH N D', s, 
forms,'F AO R M Z', s, AO
of,'AH V', s, 
o,'OW', s, 
be,'B IY', s, IY
persuaded,'P ER S W EY D AH D', s, EY
do,'D OW', s, 
not,'N AA T', s, AA
it,'IH T', s, IH
holy,'HH OW L IY', s, IY
to,'T UW', s, UW
by,'B AY', s, AY
being,'B IY IH NG', s, IY IH
it,'IH T', s, IH
is,'IH Z', s, IH
as,'AE Z', s, AE
for,'F AO R', s, AO
we,'W IY', s, IY
to,'T UW', s, UW
thefts,'TH EH F T S', s, 
and,'AH N D', s, 
rob,'R AA B', s, AA
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
charity,'CH EH R IH T IY', s, IH IY
cassandra,'K ǝ S AW N D r ǝ', s, 
call,'K AO L', s, AO
my,'M AY', s, AY
to,'T UW', s, UW
do,'D OW', s, 
not,'N AA T', s, AA
dear,'D IY R', s, IY
