dear,'D IY R',s,'IY'
lord,'L AO R D',s,'AO'
you,'Y UW',s,'UW'
full,'F UH L',s,'UH'
of,'AH V',s,''
fair,'F EH R',s,''
he,'HH IY',s,'IY'
is,'IH Z',s,'IH'
full,'F UH L',s,'UH'
of,'AH V',s,''
harmony,'HH AA R M AH N IY',s,'AA IY'
o,'OW',s,''
this,'DH IH S',s,'IH'
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
hege,'e D ZH',s,''
us,'AH S',s,''
out,'AW T',s,''
you,'Y UW',s,'UW'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
honey-sweet,'ɤ N ǝ IH - ˌ S W IY T',s,'IH IY'
lord,'L AO R D',s,'AO'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
bob,'B ɒ B',s,''
us,'AH S',s,''
out,'AW T',s,''
of,'AH V',s,''
our,'OW R',s,''
melody,'M EH L AH D IY',s,'IY'
if,'IH F',s,'IH'
you,'Y UW',s,'UW'
do,'D OW',s,''
our,'OW R',s,''
upon,'AH P AA N',s,'AA'
your,'Y AO R',s,'AO'
and,'AH N D',s,''
to,'T UW',s,'UW'
a,'AH',s,''
sweet,'S W IY T',s,'IY'
lady,'L EY D IY',s,'EY IY'
sad,'S AE D',s,'AE'
is,'IH Z',s,'IH'
a,'AH',s,''
sour,'S OW R',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
but,'B AH T',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
you,'Y UW',s,'UW'
must,'M AH S T',s,''
not,'N AA T',s,'AA'
he,'HH IY',s,'IY'
whhy,'ʍ ǝ IH',s,'IH'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
she,'SH IY',s,'IY'
shall,'SH AE L',s,'AE'
it,'IH T',s,'IH'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
if,'IH F',s,'IH'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
not,'N AA T',s,'AA'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
paris,'P EH R IH S',s,'IH'
in,'IH N',s,'IH'
after,'AW F T ǝ R',s,''
out,'AW T',s,''
them,'DH EH M',s,''
prithee,'P r e DH IY',s,'IY'
by,'B AY',s,'AY'
my,'M AY',s,'AY'
troth,'T R OW TH',s,''
sweet,'S W IY T',s,'IY'
lord,'L AO R D',s,'AO'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
a,'AH',s,''
let,'L EH T',s,''
be,'B IY',s,'IY'
this,'DH IH S',s,'IH'
will,'W IH L',s,'IH'
undo,'AH N D UW',s,'UW'
us,'AH S',s,''
all,'AA L',s,'AA'
o,'OW',s,''
in,'IH N',s,'IH'
faith,'F EY TH',s,'EY'
to,'T UW',s,'UW'
the,'DH AH',s,''
very,'V EH R IY',s,'IY'
tip,'T IH P',s,'IH'
of,'AH V',s,''
the,'DH AH',s,''
he,'HH IY',s,'IY'
the,'DH AH',s,''
lip,'L IH P',s,'IH'
at,'AE T',s,'AE'
all,'AA L',s,'AA'
lord,'L AO R D',s,'AO'
commend,'K AH M EH N D',s,''
me,'M IY',s,'IY'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
us,'AH S',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
his,'HH IH Z',s,'IH'
servant,'S ɐ R V ǝ N T',s,''
paris,'P EH R IH S',s,'IH'
yea,'Y EH',s,''
what,'W AH T',s,''
he,'HH IY',s,'IY'
shall,'SH AE L',s,'AE'
of,'AH V',s,''
us,'AH S',s,''
in,'IH N',s,'IH'
duty,'D UW T IY',s,'UW IY'
us,'AH S',s,''
in,'IH N',s,'IH'
than,'DH AE N',s,'AE'
we,'W IY',s,'IY'
yea,'Y EH',s,''
overshines,'OW V ǝ R SH ǝ IH N Z',s,'IH'
ourself,'AW ER S EH L F',s,''
