the,'DH AH',s,''
of,'AH V',s,''
levity,'L EH V IH T IY',s,'IH IY'
as,'AE Z',s,'AE'
well,'W EH L',s,''
my,'M AY',s,'AY'
as,'AE Z',s,'AE'
your,'Y AO R',s,'AO'
but,'B AH T',s,''
i,'AY',s,'AY'
attest,'AH T EH S T',s,''
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
your,'Y AO R',s,'AO'
full,'F UH L',s,'UH'
consent,'K AH N S EH N T',s,''
to,'T UW',s,'UW'
my,'M AY',s,'AY'
and,'AH N D',s,''
cut,'K ɤ T',s,''
off,'AO F',s,'AO'
all,'AA L',s,'AA'
fears,'F IY R Z',s,'IY'
on,'AA N',s,'AA'
so,'S OW',s,''
a,'AH',s,''
project,'P R AA JH EH K T',s,'AA'
for,'F AO R',s,'AO'
what,'W AH T',s,''
alas,'AH L AE S',s,'AE'
can,'K AE N',s,'AE'
my,'M AY',s,'AY'
arms,'AA R M Z',s,'AA'
what,'W AH T',s,''
is,'IH Z',s,'IH'
in,'IH N',s,'IH'
to,'T UW',s,'UW'
stand,'S T AE N D',s,'AE'
the,'DH AH',s,''
push,'P UH SH',s,'UH'
and,'AH N D',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
yet,'Y EH T',s,''
i,'AY',s,'AY'
protest,'P R OW T EH S T',s,''
wre,'W ER',s,''
i,'AY',s,'AY'
to,'T UW',s,'UW'
pass,'P AE S',s,'AE'
the,'DH AH',s,''
difficulties,'D IH F K ǝ L T ǝ IH Z',s,'IH IH'
and,'AH N D',s,''
had,'HH AE D',s,'AE'
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
paris,'P EH R IH S',s,'IH'
retract,'R IY T R AE K T',s,'IY AE'
what,'W AH T',s,''
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
nor,'N AO R',s,'AO'
faint,'F EH N T',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
i,'AY',s,'AY'
not,'N AA T',s,'AA'
merely,'M IY R L ǝ IH',s,'IY IH'
to,'T UW',s,'UW'
myself,'M AY S EH L F',s,'AY'
the,'DH AH',s,''
a,'AH',s,''
with,'W IH DH',s,'IH'
it,'IH T',s,'IH'
but,'B AH T',s,''
i,'AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
fair,'F EH R',s,''
wiped,'W ǝ IH P T',s,'IH'
off,'AO F',s,'AO'
in,'IH N',s,'IH'
honorale,'AA N ER AH B AH L',s,'AA'
what,'W AH T',s,''
treason,'T R IY Z AH N',s,'IY'
wre,'W ER',s,''
it,'IH T',s,'IH'
to,'T UW',s,'UW'
the,'DH AH',s,''
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
great,'G r e T',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
me,'M IY',s,'IY'
to,'T UW',s,'UW'
deliver,'D IH L IH V ǝ R',s,'IH IH'
up,'AH P',s,''
on,'AA N',s,'AA'
terms,'T ɐ R M Z',s,''
of,'AH V',s,''
compulsion,'K AH M P AH L SH AH N',s,''
can,'K AE N',s,'AE'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
that,'DH AE T',s,'AE'
so,'S OW',s,''
degenerte,'D IH JH EH N ER AH T',s,'IH'
a,'AH',s,''
as,'AE Z',s,'AE'
this,'DH IH S',s,'IH'
set,'S EH T',s,''
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
not,'N AA T',s,'AA'
the,'DH AH',s,''
spirit,'S P IH R AH T',s,'IH'
on,'AA N',s,'AA'
our,'OW R',s,''
party,'P AA R T IY',s,'AA IY'
a,'AH',s,''
heart,'HH AA R T',s,'AA'
to,'T UW',s,'UW'
or,'AO R',s,'AO'
to,'T UW',s,'UW'
when,'ʍ e N',s,''
helen,'HH EH L AH N',s,''
is,'IH Z',s,'IH'
defended,'D IH F EH N D AH D',s,'IH'
nor,'N AO R',s,'AO'
so,'S OW',s,''
wre,'W ER',s,''
ill,'IH L',s,'IH'
or,'AO R',s,'AO'
death,'D EH TH',s,''
helen,'HH EH L AH N',s,''
is,'IH Z',s,'IH'
the,'DH AH',s,''
subject,'S AH B JH EH K T',s,''
then,'DH EH N',s,''
i,'AY',s,'AY'
well,'W EH L',s,''
we,'W IY',s,'IY'
for,'F AO R',s,'AO'
whom,'HH UW M',s,'UW'
we,'W IY',s,'IY'
well,'W EH L',s,''
the,'DH AH',s,''
spaces,'S P EY S AH Z',s,'EY'
cannot,'K AE N AA T',s,'AE AA'
parallel,'P EH R AH L EH L',s,''
you,'Y UW',s,'UW'
it,'IH T',s,'IH'
cousin,'K AH Z AH N',s,''
and,'AH N D',s,''
by,'B AY',s,'AY'
my,'M AY',s,'AY'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
it,'IH T',s,'IH'
again,'ǝ ɡ EH N',s,''
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
it,'IH T',s,'IH'
out,'AW T',s,''
with,'W IH DH',s,'IH'
a,'AH',s,''
of,'AH V',s,''
your,'Y AO R',s,'AO'
performace,'P ER F AO R M AH N S',s,'AO'
well,'W EH L',s,''
said,'S EH D',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
well,'W EH L',s,''
you,'Y UW',s,'UW'
so,'S OW',s,''
in,'IH N',s,'IH'
fits,'F IH T S',s,'IH'
what,'W AH T',s,''
in,'IH N',s,'IH'
he,'HH IY',s,'IY'
my,'M AY',s,'AY'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
disposer,'D IH S P OW Z ǝ R',s,'IH'
well,'W EH L',s,''
's,'EH S',s,''
i,'AY',s,'AY'
good,'G UH D',s,'UH'
but,'B AH T',s,''
he,'HH IY',s,'IY'
eats,'IY T S',s,'IY'
but,'B AH T',s,''
and,'AH N D',s,''
that,'DH AE T',s,'AE'
breeds,'B R IY D Z',s,'IY'
hot,'HH AA T',s,'AA'
blood,'B L AH D',s,''
and,'AH N D',s,''
hot,'HH AA T',s,'AA'
blood,'B L AH D',s,''
begets,'B IH G EH T S',s,'IH'
hot,'HH AA T',s,'AA'
and,'AH N D',s,''
hot,'HH AA T',s,'AA'
beget,'B IH G EH T',s,'IH'
hot,'HH AA T',s,'AA'
deeds,'D IY D Z',s,'IY'
and,'AH N D',s,''
hot,'HH AA T',s,'AA'
deeds,'D IY D Z',s,'IY'
is,'IH Z',s,'IH'
and,'AH N D',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
gallantry,'G AE L AH N T R IY',s,'AE IY'
of,'AH V',s,''
troy,'T r ǝ IH',s,'IH'
i,'AY',s,'AY'
fain,'F EH N',s,''
but,'B AH T',s,''
my,'M AY',s,'AY'
nell,'N EH L',s,''
not,'N AA T',s,'AA'
it,'IH T',s,'IH'
so,'S OW',s,''
my,'M AY',s,'AY'
went,'W EH N T',s,''
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
a,'AH',s,''
hair,'HH EH R',s,''
from,'F R AH M',s,''
the,'DH AH',s,''
field,'F IY L D',s,'IY'
let,'L EH T',s,''
us,'AH S',s,''
to,'T UW',s,'UW'
priam's,'P R AY AE M Z',s,'AY AE'
to,'T UW',s,'UW'
greet,'G R IY T',s,'IY'
the,'DH AH',s,''
warriors,'W AO R IY ER Z',s,'AO IY'
sweet,'S W IY T',s,'IY'
helen,'HH EH L AH N',s,''
i,'AY',s,'AY'
must,'M AH S T',s,''
woo,'W UW',s,'UW'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
unarm,'AH N AA R M',s,'AA'
our,'OW R',s,''
his,'HH IH Z',s,'IH'
stubborn,'S T ɤ B ǝ R N',s,''
with,'W IH DH',s,'IH'
your,'Y AO R',s,'AO'
shall,'SH AE L',s,'AE'
than,'DH AE N',s,'AE'
to,'T UW',s,'UW'
the,'DH AH',s,''
ege,'EH JH',s,''
of,'AH V',s,''
steel,'S T IY L',s,'IY'
or,'AO R',s,'AO'
of,'AH V',s,''
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
do,'D OW',s,''
than,'DH AE N',s,'AE'
all,'AA L',s,'AA'
the,'DH AH',s,''
island,'ǝ IH L ǝ N D',s,'IH'
disarm,'D IH S AA R M',s,'IH AA'
great,'G r e T',s,''
sweet,'S W IY T',s,'IY'
i,'AY',s,'AY'
thee,'DH IY',s,'IY'
see,'S IY',s,'IY'
ho,'HH OW',s,''
who,'HH UW',s,'UW'
is,'IH Z',s,'IH'
that,'DH AE T',s,'AE'
a,'AH',s,''
greek,'G R IY K',s,'IY'
his,'HH IH Z',s,'IH'
witness,'W IH T N AH S',s,'IH'
the,'DH AH',s,''
process,'P r OW S e S',s,''
of,'AH V',s,''
your,'Y AO R',s,'AO'
speech,'S P IY CH',s,'IY'
wherein,'ʍ EH R IH N',s,'IH'
you,'Y UW',s,'UW'
told,'T OW L D',s,''
a,'AH',s,''
week,'W IY K',s,'IY'
by,'B AY',s,'AY'
did,'D IH D',s,'IH'
you,'Y UW',s,'UW'
in,'IH N',s,'IH'
the,'DH AH',s,''
field,'F IY L D',s,'IY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
most,'M OW S T',s,''
despiteful,'D IH S P ǝ IH T F UH L',s,'IH IH UH'
the,'DH AH',s,''
noblest,'N OW B L IH S T',s,'IH'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
of,'AH V',s,''
what,'W AH T',s,''
lord,'L AO R D',s,'AO'
so,'S OW',s,''
his,'HH IH Z',s,'IH'
meets,'M IY T S',s,'IY'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
greek,'G R IY K',s,'IY'
to,'T UW',s,'UW'
and,'AH N D',s,''
to,'T UW',s,'UW'
render,'r e N D ǝ R',s,''
him,'HH IH M',s,'IH'
for,'F AO R',s,'AO'
the,'DH AH',s,''
the,'DH AH',s,''
fair,'F EH R',s,''
your,'Y AO R',s,'AO'
company,'K AH M P AH N IY',s,'IY'
or,'AO R',s,'AO'
if,'IH F',s,'IH'
you,'Y UW',s,'UW'
hate,'AW S T',s,''
us,'AH S',s,''
i,'AY',s,'AY'
or,'AO R',s,'AO'
call,'K AO L',s,'AO'
my,'M AY',s,'AY'
a,'AH',s,''
certain,'S ɐ R T ǝ N',s,''
my,'M AY',s,'AY'
him,'HH IH M',s,'IH'
and,'AH N D',s,''
him,'HH IH M',s,'IH'
of,'AH V',s,''
our,'OW R',s,''
appproach,'ǝ P r OW T SH',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
whereof,'ʍ EH R ɒ V',s,''
i,'AY',s,'AY'
fear,'F IY R',s,'IY'
we,'W IY',s,'IY'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
is,'IH Z',s,'IH'
no,'N OW',s,''
the,'DH AH',s,''
disposition,'D IH S P AH Z IH SH AH N',s,'IH IH'
of,'AH V',s,''
the,'DH AH',s,''
will,'W IH L',s,'IH'
it,'IH T',s,'IH'
soon,'S UW N',s,'UW'
lord,'L AO R D',s,'AO'
you,'Y UW',s,'UW'
and,'AH N D',s,''
tell,'T EH L',s,''
me,'M IY',s,'IY'
faith,'F EY TH',s,'EY'
tell,'T EH L',s,''
me,'M IY',s,'IY'
true,'T R UW',s,'UW'
even,'IY V IH N',s,'IY IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
soul,'S OW L',s,''
of,'AH V',s,''
who,'HH UW',s,'UW'
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
fair,'F EH R',s,''
helen,'HH EH L AH N',s,''
best,'B EH S T',s,''
myself,'M AY S EH L F',s,'AY'
or,'AO R',s,'AO'
you,'Y UW',s,'UW'
too,'T UW',s,'UW'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
fair,'F EH R',s,''
you,'Y UW',s,'UW'
do,'D OW',s,''
as,'AE Z',s,'AE'
do,'D OW',s,''
the,'DH AH',s,''
that,'DH AE T',s,'AE'
to,'T UW',s,'UW'
buy,'B ə IH',s,'IH'
but,'B AH T',s,''
we,'W IY',s,'IY'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
well,'W EH L',s,''
not,'N AA T',s,'AA'
commend,'K AH M EH N D',s,''
that,'DH AE T',s,'AE'
not,'N AA T',s,'AA'
intend,'IH N T EH N D',s,'IH'
to,'T UW',s,'UW'
sell,'S EH L',s,''
our,'OW R',s,''
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
great,'G r e T',s,''
and,'AH N D',s,''
the,'DH AH',s,''
for,'F AO R',s,'AO'
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
greek,'G R IY K',s,'IY'
fast,'F AW S T',s,''
upon,'AH P AA N',s,'AA'
good,'G UH D',s,'UH'
my,'M AY',s,'AY'
tell,'T EH L',s,''
you,'Y UW',s,'UW'
the,'DH AH',s,''
lady,'L EY D IY',s,'EY IY'
what,'W AH T',s,''
she,'SH IY',s,'IY'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
do,'D OW',s,''
and,'AH N D',s,''
hate,'AW S T',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
i,'AY',s,'AY'
what,'W AH T',s,''
to,'T UW',s,'UW'
and,'AH N D',s,''
as,'AE Z',s,'AE'
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
trumpet,'T R AH M P AH T',s,''
fault,'F AO L T',s,'AO'
to,'T UW',s,'UW'
field,'F IY L D',s,'IY'
with,'W IH DH',s,'IH'
him,'HH IH M',s,'IH'
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
forbid,'F ǝ R B IH D',s,'IH'
