i,n;IH,N;s; IH
t,r,o,y;T,r,ǝ,IH;s; IH
th,e;DH,AH;s; 
f,r,o,m;F,R,AH,M;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
p,r,i,n,c,e,s;P,R,IH,N,S,AH,Z;s; IH
th,ei,r;DH,EH,R;s; 
b,l,oo,d;B,L,AH,D;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
p,o,r,t;P,AO,R,T;s; AO
o,f;AH,V;s; 
a,th,e,n,s;AW,T,ǝ,N,Z;s; 
s,e,n,t;S,EH,N,T;s; 
th,ei,r;DH,EH,R;s; 
sh,i,p,s;SH,IH,P,S;s; IH
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
m,i,n,i,s,t,e,r,s;M,IH,N,IH,S,T,ǝ,R,Z;s; IH,IH
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
w,a,r;W,AO,R;s; AO
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
th,ei,r;DH,EH,R;s; 
r,e,g,a,l;r,IY,G,AA,L;s; IY,AA
f,r,o,m;F,R,AH,M;s; 
p,u,t;P,UH,T;s; UH
f,o,r,th;F,AO,R,TH;s; AO
a,n,d;AH,N,D;s; 
th,ei,r;DH,EH,R;s; 
v,o,w;V,ǝ,UH;s; UH
i,s;IH,Z;s; IH
t,o;T,UW;s; UW
r,a,n,s,a,ck;R,AE,N,S,AE,K;s; AE,AE
t,r,o,y;T,r,ǝ,IH;s; IH
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,e;DH,AH;s; 
h,e,l,e,n;HH,EH,L,AH,N;s; 
w,i,th;W,IH,DH;s; IH
w,a,n,t,o,n;W,AA,N,T,ǝ,N;s; AA
p,a,r,i,s;P,EH,R,IH,S;s; IH
s,l,ee,p,s;S,L,IY,P,S;s; IY
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
b,a,r,k,s;B,AA,R,K,S;s; AA
d,o;D,OW;s; 
th,ei,r;DH,EH,R;s; 
f,r,au,g,h,t,ge;F,r,AO,T,IH,D,ZH;s; AO,IH
o,n;AA,N;s; AA
d,a,r,d,a,n;D,AA,R,D,ǝ,N;s; AA
p,l,ai,n,s;P,L,EY,N,Z;s; EY
th,e;DH,AH;s; 
f,r,e,sh;F,R,EH,SH;s; 
a,n,d;AH,N,D;s; 
y,e,t;Y,EH,T;s; 
g,r,ee,k,s;G,R,IY,K,S;s; IY
d,o;D,OW;s; 
th,ei,r;DH,EH,R;s; 
p,r,ia,m,',s;P,R,AY,AE,M,Z;s; AY,AE
d,a,r,d,a,n;D,AA,R,D,ǝ,N;s; AA
a,n,d;AH,N,D;s; 
h,e,l,ia,s;e,L,IH,ǝ,S;s; IH
ch,e,t,a,s;K,IY,T,ǝ,S;s; IY
a,n,d;AH,N,D;s; 
s,t,a,p,l,e,s;S,T,EY,P,AH,L,Z;s; EY
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
b,o,l,t,s;B,OW,L,T,S;s; 
s,p,a,r;S,P,AA,R;s; AA
u,p;AH,P;s; 
th,e;DH,AH;s; 
s,o,n,s;S,AH,N,Z;s; 
o,f;AH,V;s; 
t,r,o,y;T,r,ǝ,IH;s; IH
s,k,i,tt,i,sh;S,K,IH,T,IH,SH;s; IH,IH
s,p,i,r,i,t,s;S,P,IH,R,AH,T,S;s; IH
o,n;AA,N;s; AA
a,n,d;AH,N,D;s; 
t,r,o,j,a,n;T,R,OW,JH,AH,N;s; 
a,n,d;AH,N,D;s; 
g,r,ee,k;G,R,IY,K;s; IY
s,e,t,s;S,EH,T,S;s; 
a,ll;AA,L;s; AA
o,n;AA,N;s; AA
a,n,d;AH,N,D;s; 
a,m;AE,M;s; AE
i;AY;s; AY
a;AH;s; 
b,u,t;B,AH,T;s; 
n,o,t;N,AA,T;s; AA
i,n;IH,N;s; IH
o,f;AH,V;s; 
p,e,n;P,EH,N;s; 
o,r;AO,R;s; AO
b,u,t;B,AH,T;s; 
s,ui,t,e,d;S,UW,T,AH,D;s; UW
i,n;IH,N;s; IH
c,o,n,d,i,t,io,n,s;K,AH,N,D,IH,SH,AH,N,Z;s; IH
a,s;AE,Z;s; AE
ou,r;OW,R;s; 
t,o;T,UW;s; UW
t,e,ll;T,EH,L;s; 
y,ou;Y,UW;s; UW
f,ai,r;F,EH,R;s; 
th,a,t;DH,AE,T;s; AE
ou,r;OW,R;s; 
l,ea,p,s;L,IY,P,S;s; IY
th,e;DH,AH;s; 
v,au,n,t;V,AO,N,T;s; AO
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
t,o;T,UW;s; UW
wh,a,t;W,AH,T;s; 
b,e;B,IY;s; IY
d,i,g,e,s,t,e,d;D,AY,JH,EH,S,T,IH,D;s; AY,IH
i,n;IH,N;s; IH
a;AH;s; 
o,r;AO,R;s; AO
f,au,l,t;F,AO,L,T;s; AO
d,o;D,OW;s; 
a,s;AE,Z;s; AE
y,ou,r;Y,AO,R;s; AO
g,oo,d;G,UH,D;s; UH
o,r;AO,R;s; AO
b,a,d;B,AE,D;s; AE
b,u,t;B,AH,T;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
w,a,r;W,AO,R;s; AO
