i;AY;s; AY
h,a,d;HH,AE,D;s; AE
t,o;T,UW;s; UW
h,e,l,d;HH,EH,L,D;s; 
m,y;M,AY;s; AY
u,n,t,i,l;AH,N,T,IH,L;s; IH
y,ou;Y,UW;s; UW
h,a,d;HH,AE,D;s; AE
f,r,o,m;F,R,AH,M;s; 
h,i,m;HH,IH,M;s; IH
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
h,i,m;HH,IH,M;s; IH
t,oo;T,UW;s; UW
c,o,l,d,l,y;K,OW,L,D,L,IY;s; IY
t,e,ll;T,EH,L;s; 
h,i,m;HH,IH,M;s; IH
y,ou;Y,UW;s; UW
a,ll;AA,L;s; AA
i,n;IH,N;s; IH
w,e,ll;W,EH,L;s; 
th,i,s;DH,IH,S;s; IH
s,a,t,i,s,f,a,c,t,io,n;S,AE,T,AH,S,F,AE,K,SH,AH,N;s; AE,AE
th,e;DH,AH;s; 
th,i,s;DH,IH,S;s; IH
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
b,ea,t;B,IY,T;s; IY
f,r,o,m;F,R,AH,M;s; 
h,i,s;HH,IH,Z;s; IH
b,e,s,t;B,EH,S,T;s; 
w,a,r,d;W,AA,R,D;s; AA
t,o;T,UW;s; UW
t,e,ll;T,EH,L;s; 
h,e;HH,IY;s; IY
t,o;T,UW;s; UW
s,ee;S,IY;s; IY
h,i,s;HH,IH,Z;s; IH
s,o,n;S,AO,̃;s; AO
w,re;W,ER;s; 
b,u,t;B,AH,T;s; 
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
s,o;S,OW;s; 
th,e,n;DH,EH,N;s; 
a,n,d;AH,N,D;s; 
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
g,o;G,OW;s; 
b,u,t;B,AH,T;s; 
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
s,w,ea,r;S,W,EH,R;s; 
s,o;S,OW;s; 
a,n,d;AH,N,D;s; 
h,e;HH,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
n,o,t;N,AA,T;s; AA
h,i,m;HH,IH,M;s; IH
w,i,th;W,IH,DH;s; IH
y,e,t;Y,EH,T;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
a,d,v,e,n,t,re;ǝ,V,e,N,T,ǝ,R;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
a;AH;s; 
w,ee,k;W,IY,K;s; IY
wh,e,n;ʍ,e,N;s; 
a,t;AE,T;s; AE
y,ou;Y,UW;s; UW
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
h,i,m;HH,IH,M;s; IH
m,y;M,AY;s; AY
c,o,mm,i,ss,io,n;K,AH,M,IH,SH,AH,N;s; IH
t,o;T,UW;s; UW
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
a;AH;s; 
m,o,n,th;M,AH,N,TH;s; 
b,e,h,i,n,d;B,IH,ə,IH,N,D;s; IH,IH
th,e;DH,AH;s; 
g,e,s,t;JH,EH,S,T;s; 
f,o,r;F,AO,R;s; AO
',s;EH,S;s; 
g,oo,d;G,UH,D;s; UH
d,ee,d;D,IY,D;s; IY
i;AY;s; AY
th,ee;DH,IY;s; IY
n,o,t;N,AA,T;s; AA
a;AH;s; 
c,l,o,ck;K,L,AA,K;s; AA
b,e,h,i,n,d;B,IH,ə,IH,N,D;s; IH,IH
wh,a,t;W,AH,T;s; 
l,a,d,y;L,EY,D,IY;s; EY,IY
sh,e;SH,IY;s; IY
b,u,t;B,AH,T;s; 
y,ou;Y,UW;s; UW
w,i,ll;W,IH,L;s; IH
