in,'IH N', s, IH
good,'G UH D', s, UH
i,'AY', s, AY
was,'W AA Z', s, AA
them,'DH EH M', s, 
against,'AH G EH N S T', s, 
the,'DH AH', s, 
feast,'F e S T', s, 
but,'B AH T', s, 
not,'N AA T', s, AA
too,'T UW', s, UW
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
paid,'P EY D', s, EY
you,'Y UW', s, UW
all,'AA L', s, AA
he,'HH IY', s, IY
you,'Y UW', s, UW
he,'HH IY', s, IY
paid,'P EY D', s, EY
you,'Y UW', s, UW
will,'W IH L', s, IH
you,'Y UW', s, UW
to,'T UW', s, UW
him,'HH IH M', s, IH
again,'ǝ ɡ EH N', s, 
i,'AY', s, AY
you,'Y UW', s, UW
me,'M IY', s, IY
a,'AH', s, 
and,'AH N D', s, 
a,'AH', s, 
pair,'P EH R', s, 
of,'AH V', s, 
sweet,'S W IY T', s, IY
buy,'B ə IH', s, IH
i,'AY', s, AY
a,'AH', s, 
ballad,'B AE L AH D', s, AE
in,'IH N', s, IH
print,'P R IH N T', s, IH
for,'F AO R', s, AO
then,'DH EH N', s, 
we,'W IY', s, IY
true,'T R UW', s, UW
is,'IH Z', s, IH
it,'IH T', s, IH
true,'T R UW', s, UW
think,'TH IH NG K', s, IH
you,'Y UW', s, UW
you,'Y UW', s, UW
buy,'B ə IH', s, IH
it,'IH T', s, IH
merrry,'M e r ǝ IH', s, IH
ones,'W AH N Z', s, 
we,'W IY', s, IY
can,'K AE N', s, AE
both,'B OW TH', s, 
it,'IH T', s, IH
if,'IH F', s, IH
thou,'DH AW', s, 
bear,'B EH R', s, 
a,'AH', s, 
part,'P AA R T', s, AA
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
in,'IH N', s, IH
parts,'P AA R T S', s, AA
o,'OW', s, 
it,'IH T', s, IH
oath,'OW TH', s, 
full,'F UH L', s, UH
well,'W EH L', s, 
thou,'DH AW', s, 
to,'T UW', s, UW
me,'M IY', s, IY
secrets,'S IY K R AH T S', s, IY
tell,'T EH L', s, 
or,'AO R', s, AO
thou,'DH AW', s, 
goest,'G OW S T', s, 
to,'T UW', s, UW
or,'AO R', s, AO
mill,'M IH L', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
sworn,'S W AO R N', s, AO
it,'IH T', s, IH
to,'T UW', s, UW
me,'M IY', s, IY
then,'DH EH N', s, 
goest,'G OW S T', s, 
