that,'DH AE T', s, AE
out,'AW T', s, 
himself,'HH IH M S EH L F', s, IH
son,'S AO ̃', s, AO
of,'AH V', s, 
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
the,'DH AH', s, 
fairest,'F EH R ǝ S T', s, 
i,'AY', s, AY
yet,'Y EH T', s, 
to,'T UW', s, UW
your,'Y AO R', s, AO
but,'B AH T', s, 
few,'F Y UW', s, UW
and,'AH N D', s, 
but,'B AH T', s, 
mean,'M IY N', s, IY
the,'DH AH', s, 
most,'M OW S T', s, 
peerless,'P IY R L ǝ S', s, IY
of,'AH V', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
that,'DH AE T', s, AE
the,'DH AH', s, 
sun,'S AH N', s, 
on,'AA N', s, AA
pardon,'P AA R D ǝ N', s, AA
madam,'M AE D AH M', s, AE
the,'DH AH', s, 
i,'AY', s, AY
almost,'AA L M OW S T', s, AA
pardon,'P AA R D ǝ N', s, AA
the,'DH AH', s, 
when,'ʍ e N', s, 
she,'SH IY', s, IY
your,'Y AO R', s, AO
will,'W IH L', s, IH
your,'Y AO R', s, AO
too,'T UW', s, UW
this,'DH IH S', s, IH
is,'IH Z', s, IH
a,'AH', s, 
creatre,'K R IY CH ER', s, IY
she,'SH IY', s, IY
begin,'B IH G IH N', s, IH IH
a,'AH', s, 
sect,'S EH K T', s, 
the,'DH AH', s, 
zeal,'Z IY L', s, IY
of,'AH V', s, 
all,'AA L', s, AA
of,'AH V', s, 
who,'HH UW', s, UW
she,'SH IY', s, IY
but,'B AH T', s, 
bid,'B IH D', s, IH
women,'W IH M AH N', s, IH
will,'W IH L', s, IH
that,'DH AE T', s, AE
she,'SH IY', s, IY
is,'IH Z', s, IH
a,'AH', s, 
woman,'W UH M AH N', s, UH
worth,'W AO R TH', s, AO
than,'DH AE N', s, AE
man,'M AE N', s, AE
men,'M EH N', s, 
that,'DH AE T', s, AE
she,'SH IY', s, IY
is,'IH Z', s, IH
the,'DH AH', s, 
rarest,'r EH r ǝ S T', s, 
of,'AH V', s, 
all,'AA L', s, AA
women,'W IH M AH N', s, IH
