m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
f,ea,r;F,IY,R;s; IY
w,e;W,IY;s; IY
l,a,n,d,e,d;L,AE,N,D,AH,D;s; AE
i,n;IH,N;s; IH
i,ll;IH,L;s; IH
th,e;DH,AH;s; 
s,k,ie,s;S,K,AY,Z;s; AY
l,oo,k;L,UH,K;s; UH
a,n,d;AH,N,D;s; 
p,r,e,s,e,n,t;P,r,IH,Z,e,N,T;s; IH
b,l,u,s,t,e,r,s;B,L,ɤ,S,T,ə,R,Z;s; 
i,n;IH,N;s; IH
m,y;M,AY;s; AY
th,e;DH,AH;s; 
h,ea,v,e,n,s;HH,EH,V,AH,N,Z;s; 
w,i,th;W,IH,DH;s; IH
th,a,t;DH,AE,T;s; AE
w,e;W,IY;s; IY
i,n;IH,N;s; IH
a,n,g,r,y;AE,NG,G,R,IY;s; AE,IY
a,n,d;AH,N,D;s; 
f,r,o,w,n;F,r,ǝ,UH,N;s; UH
u,p,o,n;AH,P,AA,N;s; AA
',s;EH,S;s; 
y,ou,r;Y,AO,R;s; AO
b,e,s,t;B,EH,S,T;s; 
h,a,te;AW,S,T;s; 
a,n,d;AH,N,D;s; 
g,o;G,OW;s; 
n,o,t;N,AA,T;s; AA
t,oo;T,UW;s; UW
f,a,r;F,AA,R;s; AA
l,a,n,d;L,AE,N,D;s; AE
t,o;T,UW;s; UW
b,e;B,IY;s; IY
b,e,s,i,d,e,s;B,IH,S,ə,IH,D,Z;s; IH,IH
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
f,a,m,ou,s;F,EY,M,AH,S;s; EY
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
k,ee,p;K,IY,P;s; IY
u,p,o,n;AH,P,AA,N;s; AA
i;AY;s; AY
a,m;AE,M;s; AE
g,l,a,d;G,L,AE,D;s; AE
a,t;AE,T;s; AE
h,ea,r,t;HH,AA,R,T;s; AA
t,o;T,UW;s; UW
b,e;B,IY;s; IY
s,o;S,OW;s; 
r,i,d;R,IH,D;s; IH
