o,n;AA,N;s; AA
s,i,n,f,u,l;S,IH,N,F,AH,L;s; IH
o,n;AA,N;s; AA
l,u,s,t;L,AH,S,T;s; 
a,n,d;AH,N,D;s; 
l,u,s,t;L,AH,S,T;s; 
i,s;IH,Z;s; IH
b,u,t;B,AH,T;s; 
a;AH;s; 
b,l,oo,d,y;B,L,AH,D,IY;s; IY
k,i,n,d,l,e,d;K,IH,N,D,AH,L,D;s; IH
w,i,th;W,IH,DH;s; IH
f,e,d;F,EH,D;s; 
i,n;IH,N;s; IH
h,ea,r,t;HH,AA,R,T;s; AA
a,s;AE,Z;s; AE
d,o;D,OW;s; 
th,e,m;DH,EH,M;s; 
a,n,d;AH,N,D;s; 
p,i,n,ch;P,IH,N,CH;s; IH
h,i,m;HH,IH,M;s; IH
f,ai,r,ie,s;F,EH,R,IY,Z;s; IY
p,i,n,ch;P,IH,N,CH;s; IH
h,i,m;HH,IH,M;s; IH
f,o,r;F,AO,R;s; AO
h,i,s;HH,IH,Z;s; IH
p,i,n,ch;P,IH,N,CH;s; IH
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
t,u,r,n;T,ɐ,R,N;s; 
h,i,m;HH,IH,M;s; IH
t,i,ll;T,IH,L;s; IH
c,a,n,d,l,e,s;K,AE,N,D,AH,L,Z;s; AE
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
b,e;B,IY;s; IY
ou,t;AW,T;s; 
