within,'W IH DH IH N',s,'IH IH'
ho,'HH OW',s,''
good,'G UH D',s,'UH'
woman,'W UH M AH N',s,'UH'
dost,'D AA S T',s,'AA'
thou,'DH AW',s,''
what,'W AH T',s,''
does,'D AH Z',s,''
prettty,'P r IH T ǝ IH',s,'IH IH'
mistress,'M IH S T R AH S',s,'IH'
shall,'SH AE L',s,'AE'
i,'AY',s,'AY'
do,'D OW',s,''
good,'G UH D',s,'UH'
thou,'DH AW',s,''
shall,'SH AE L',s,'AE'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
my,'M AY',s,'AY'
suit,'SH UW T',s,'UW'
yes,'Y IH S',s,'IH'
marrry,'M AW r ǝ IH',s,'IH'
i,'AY',s,'AY'
what,'W AH T',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
well,'W EH L',s,''
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
see,'S IY',s,'IY'
for,'F AO R',s,'AO'
thee,'DH IY',s,'IY'
let,'L EH T',s,''
me,'M IY',s,'IY'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
if,'IH F',s,'IH'
thou,'DH AW',s,''
me,'M IY',s,'IY'
commend,'K AH M EH N D',s,''
me,'M IY',s,'IY'
well,'W EH L',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
in,'IH N',s,'IH'
great,'G r e T',s,''
hate,'AW S T',s,''
i,'AY',s,'AY'
see,'S IY',s,'IY'
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
get,'G EH T',s,''
therefre,'DH EH R F AO R',s,'AO'
no,'N OW',s,''
turn,'T ɐ R N',s,''
me,'M IY',s,'IY'
to,'T UW',s,'UW'
him,'HH IH M',s,'IH'
sweet,'S W IY T',s,'IY'
nan,'N AE N',s,'AE'
whhy,'ʍ ǝ IH',s,'IH'
thou,'DH AW',s,''
must,'M AH S T',s,''
be,'B IY',s,'IY'
he,'HH IY',s,'IY'
doth,'D AO TH',s,'AO'
object,'AA B JH EH K T',s,'AA'
i,'AY',s,'AY'
am,'AE M',s,'AE'
too,'T UW',s,'UW'
great,'G r e T',s,''
of,'AH V',s,''
and,'AH N D',s,''
that,'DH AE T',s,'AE'
my,'M AY',s,'AY'
being,'B IY IH NG',s,'IY IH'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
i,'AY',s,'AY'
seek,'S IY K',s,'IY'
to,'T UW',s,'UW'
it,'IH T',s,'IH'
only,'OW N L IY',s,'IY'
by,'B AY',s,'AY'
his,'HH IH Z',s,'IH'
wealth,'W EH L TH',s,''
besides,'B IH S ə IH D Z',s,'IH IH'
bars,'B AA R Z',s,'AA'
he,'HH IY',s,'IY'
me,'M IY',s,'IY'
my,'M AY',s,'AY'
past,'P AW S T',s,''
my,'M AY',s,'AY'
and,'AH N D',s,''
me,'M IY',s,'IY'
a,'AH',s,''
i,'AY',s,'AY'
thee,'DH IY',s,'IY'
but,'B AH T',s,''
as,'AE Z',s,'AE'
a,'AH',s,''
no,'N OW',s,''
heaven,'HH EH V AH N',s,''
so,'S OW',s,''
speed,'S P IY D',s,'IY'
me,'M IY',s,'IY'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
to,'T UW',s,'UW'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
confess,'K AH N F EH S',s,''
wealth,'W EH L TH',s,''
was,'W AA Z',s,'AA'
the,'DH AH',s,''
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
wooed,'W UW D',s,'UW'
thee,'DH IY',s,'IY'
yet,'Y EH T',s,''
wooing,'W UW IH N',s,'UW IH'
thee,'DH IY',s,'IY'
i,'AY',s,'AY'
thee,'DH IY',s,'IY'
of,'AH V',s,''
than,'DH AE N',s,'AE'
stamps,'S T AE M P S',s,'AE'
in,'IH N',s,'IH'
gold,'G OW L D',s,''
or,'AO R',s,'AO'
sums,'S ɤ M Z',s,''
in,'IH N',s,'IH'
bags,'B AE G Z',s,'AE'
and,'AH N D',s,''
the,'DH AH',s,''
very,'V EH R IY',s,'IY'
riches,'R IH CH AH Z',s,'IH'
of,'AH V',s,''
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
aim,'EH M',s,''
at,'AE T',s,'AE'
master,'M AW S T ǝ R',s,''
be,'B IY',s,'IY'
not,'N AA T',s,'AA'
will,'W IH L',s,'IH'
you,'Y UW',s,'UW'
me,'M IY',s,'IY'
good,'G UH D',s,'UH'
mistress,'M IH S T R AH S',s,'IH'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
your,'Y AO R',s,'AO'
in,'IH N',s,'IH'
a,'AH',s,''
fashion,'F AE SH AH N',s,'AE'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
do,'D OW',s,''
perfoce,'P ER F AO R S',s,'AO'
against,'AH G EH N S T',s,''
all,'AA L',s,'AA'
rebukes,'R IY B Y UW K S',s,'IY UW'
and,'AH N D',s,''
i,'AY',s,'AY'
must,'M AH S T',s,''
the,'DH AH',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
and,'AH N D',s,''
not,'N AA T',s,'AA'
let,'L EH T',s,''
me,'M IY',s,'IY'
your,'Y AO R',s,'AO'
good,'G UH D',s,'UH'
will,'W IH L',s,'IH'
nan,'N AE N',s,'AE'
i,'AY',s,'AY'
thank,'TH AE NG K',s,'AE'
thee,'DH IY',s,'IY'
and,'AH N D',s,''
i,'AY',s,'AY'
thee,'DH IY',s,'IY'
my,'M AY',s,'AY'
sweet,'S W IY T',s,'IY'
nan,'N AE N',s,'AE'
this,'DH IH S',s,'IH'
for,'F AO R',s,'AO'
pains,'P EH N Z',s,''
yet,'Y EH T',s,''
me,'M IY',s,'IY'
speak,'S P IY K',s,'IY'
assist,'AH S IH S T',s,'IH'
me,'M IY',s,'IY'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
and,'AH N D',s,''
as,'AE Z',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
a,'AH',s,''
gentleman,'JH EH N T AH L M AH N',s,''
thee,'DH IY',s,'IY'
a,'AH',s,''
in,'IH N',s,'IH'
gold,'G OW L D',s,''
than,'DH AE N',s,'AE'
your,'Y AO R',s,'AO'
loss,'L AO S',s,'AO'
from,'F R AH M',s,''
to,'T UW',s,'UW'
i,'AY',s,'AY'
acquainted,'AH K W EY N T IH D',s,'EY IH'
you,'Y UW',s,'UW'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
dear,'D IY R',s,'IY'
i,'AY',s,'AY'
bear,'B EH R',s,''
to,'T UW',s,'UW'
fair,'F EH R',s,''
who,'HH UW',s,'UW'
hath,'HH AE TH',s,'AE'
my,'M AY',s,'AY'
affection,'AH F EH K SH AH N',s,''
so,'S OW',s,''
far,'F AA R',s,'AA'
forth,'F AO R TH',s,'AO'
as,'AE Z',s,'AE'
be,'B IY',s,'IY'
even,'IY V IH N',s,'IY IH'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
wish,'W IH SH',s,'IH'
i,'AY',s,'AY'
a,'AH',s,''
from,'F R AH M',s,''
of,'AH V',s,''
contents,'K ǝ N T e N T S',s,''
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
will,'W IH L',s,'IH'
wonder,'W ɤ N D ǝ R',s,''
at,'AE T',s,'AE'
the,'DH AH',s,''
mirth,'M ɐ R TH',s,''
whereof,'ʍ EH R ɒ V',s,''
so,'S OW',s,''
larded,'L AA R D IH D',s,'AA IH'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
matter,'M AW T ǝ R',s,''
