a,'AH', s, 
woman,'W UH M AH N', s, UH
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
you,'Y UW', s, UW
i,'AY', s, AY
had,'HH AE D', s, AE
forsooth,'F ǝ R S UW TH', s, UW
go,'G OW', s, 
you,'Y UW', s, UW
a,'AH', s, 
man,'M AE N', s, AE
than,'DH AE N', s, AE
him,'HH IH M', s, IH
a,'AH', s, 
dwarf,'D W AA R F', s, AA
falstaff,'F AO L S T AE F', s, AO AE
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
is,'IH Z', s, IH
in,'IH N', s, IH
at,'AE T', s, AE
your,'Y AO R', s, AO
back,'B AE K', s, AE
door,'D AO R', s, AO
mistress,'M IH S T R AH S', s, IH
ford,'F AO R D', s, AO
and,'AH N D', s, 
your,'Y AO R', s, AO
company,'K AH M P AH N IY', s, IY
be,'B IY', s, IY
sworn,'S W AO R N', s, AO
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
not,'N AA T', s, AA
of,'AH V', s, 
your,'Y AO R', s, AO
being,'B IY IH NG', s, IY IH
and,'AH N D', s, 
hath,'HH AE TH', s, AE
to,'T UW', s, UW
put,'P UH T', s, UH
me,'M IY', s, IY
into,'IH N T UW', s, IH UW
if,'IH F', s, IH
i,'AY', s, AY
tell,'T EH L', s, 
you,'Y UW', s, UW
of,'AH V', s, 
it,'IH T', s, IH
for,'F AO R', s, AO
he,'HH IY', s, IY
swears,'S W EH R Z', s, 
turn,'T ɐ R N', s, 
me,'M IY', s, IY
mistress,'M IH S T R AH S', s, IH
ford,'F AO R D', s, AO
mistress,'M IH S T R AH S', s, IH
ford,'F AO R D', s, AO
mistress,'M IH S T R AH S', s, IH
at,'AE T', s, AE
the,'DH AH', s, 
door,'D AO R', s, AO
and,'AH N D', s, 
and,'AH N D', s, 
wildly,'W AY L D L IY', s, AY IY
and,'AH N D', s, 
needs,'N IY D Z', s, IY
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
you,'Y UW', s, UW
presently,'P R EH Z AH N T L IY', s, IY
