m,e;M,IY;s; IY
n,o,t;N,AA,T;s; AA
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
a;AH;s; 
m,a,tt,e,r;M,AW,T,ǝ,R;s; 
o,f;AH,V;s; 
i,t;IH,T;s; IH
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
w,re;W,ER;s; 
h,e;HH,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
n,o,t;N,AA,T;s; AA
r,o,b,e,r,t;r,ɒ,B,ǝ,R,T;s; 
c,ou,s,i,n;K,AH,Z,AH,N;s; 
s,l,e,n,d,e,r;S,L,e,N,D,ǝ,R;s; 
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
d,o;D,OW;s; 
a,n,d;AH,N,D;s; 
y,ea,r,s;Y,IH,R,Z;s; IH
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
a,n;AE,N;s; AE
o,l,d;OW,L,D;s; 
c,oa,t;K,OW,T;s; 
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
f,r,e,sh;F,R,EH,SH;s; 
f,i,sh;F,IH,SH;s; IH
th,e;DH,AH;s; 
s,a,l,t;S,AO,L,T;s; AO
f,i,sh;F,IH,SH;s; IH
i,s;IH,Z;s; IH
a,n;AE,N;s; AE
o,l,d;OW,L,D;s; 
c,oa,t;K,OW,T;s; 
y,ou;Y,UW;s; UW
b,y;B,AY;s; AY
n,o,t;N,AA,T;s; AA
a;AH;s; 
wh,i,t;W,IH,T;s; IH
th,e;DH,AH;s; 
sh,a,ll;SH,AE,L;s; AE
i,t;IH,T;s; IH
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
a;AH;s; 
m,y;M,AY;s; AY
i,f;IH,F;s; IH
i;AY;s; AY
w,re;W,ER;s; 
a,g,ai,n;ǝ,ɡ,EH,N;s; 
th,e;DH,AH;s; 
e,n,d;EH,N,D;s; 
i,t;IH,T;s; IH
w,e,ll;W,EH,L;s; 
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
s,ee;S,IY;s; IY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
i,s;IH,Z;s; IH
f,a,l,s,t,a,ff;F,AO,L,S,T,AE,F;s; AO,AE
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
i;AY;s; AY
a,m;AE,M;s; AE
g,l,a,d;G,L,AE,D;s; AE
t,o;T,UW;s; UW
s,ee;S,IY;s; IY
y,ou;Y,UW;s; UW
g,oo,d;G,UH,D;s; UH
d,o;D,OW;s; 
i,t;IH,T;s; IH
y,ou,r;Y,AO,R;s; AO
g,oo,d;G,UH,D;s; UH
h,ea,r,t;HH,AA,R,T;s; AA
i;AY;s; AY
w,i,sh,e,d;W,IH,SH,IH,D;s; IH,IH
y,ou,r;Y,AO,R;s; AO
v,e,n,i,s,o,n;V,EH,N,AH,S,AH,N;s; 
b,e,tt,e,r;B,e,T,ə,R;s; 
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
i,ll;IH,L;s; IH
d,o,th;D,AO,TH;s; AO
g,oo,d;G,UH,D;s; UH
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
a,n,d;AH,N,D;s; 
i;AY;s; AY
th,a,n,k;TH,AE,NG,K;s; AE
y,ou;Y,UW;s; UW
w,i,th;W,IH,DH;s; IH
m,y;M,AY;s; AY
h,ea,r,t;HH,AA,R,T;s; AA
l,a;L,AA;s; AA
w,i,th;W,IH,DH;s; IH
m,y;M,AY;s; AY
h,ea,r,t;HH,AA,R,T;s; AA
i;AY;s; AY
th,a,n,k;TH,AE,NG,K;s; AE
y,ou;Y,UW;s; UW
b,y;B,AY;s; AY
y,ea;Y,EH;s; 
a,n,d;AH,N,D;s; 
n,o;N,OW;s; 
i;AY;s; AY
d,o;D,OW;s; 
th,a,t;DH,AE,T;s; AE
h,e;HH,IY;s; IY
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
y,ou,r;Y,AO,R;s; AO
f,au,l,t;F,AO,L,T;s; AO
y,ou,r;Y,AO,R;s; AO
f,au,l,t;F,AO,L,T;s; AO
a;AH;s; 
g,oo,d;G,UH,D;s; UH
d,o,g;D,AO,G;s; AO
a;AH;s; 
g,oo,d;G,UH,D;s; UH
d,o,g;D,AO,G;s; AO
a,n,d;AH,N,D;s; 
a;AH;s; 
f,ai,r;F,EH,R;s; 
d,o,g;D,AO,G;s; AO
c,a,n;K,AE,N;s; AE
b,e;B,IY;s; IY
s,ai,d;S,EH,D;s; 
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
g,oo,d;G,UH,D;s; UH
a,n,d;AH,N,D;s; 
f,ai,r;F,EH,R;s; 
i,s;IH,Z;s; IH
f,a,l,s,t,a,ff;F,AO,L,S,T,AE,F;s; AO,AE
h,e;HH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
m,e;M,IY;s; IY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
i,f;IH,F;s; IH
i,t;IH,T;s; IH
b,e;B,IY;s; IY
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
th,a,t;DH,AE,T;s; AE
s,o;S,OW;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
h,e;HH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
m,e;M,IY;s; IY
i,n,d,ee,d;IH,N,D,IY,D;s; IH,IY
h,e;HH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
a,t;AE,T;s; AE
a;AH;s; 
h,e;HH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
m,e;M,IY;s; IY
r,o,b,e,r,t;r,ɒ,B,ǝ,R,T;s; 
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
y,ou;Y,UW;s; UW
b,ea,t,e,n;B,IY,T,ə,N;s; IY
m,y;M,AY;s; AY
m,e,n;M,EH,N;s; 
m,y;M,AY;s; AY
d,ee,r;D,IY,R;s; IY
a,n,d;AH,N,D;s; 
o,p,e,n;OW,P,ǝ,N;s; 
m,y;M,AY;s; AY
l,o,ge;L,AA,JH;s; AA
t,u,t;T,ɤ,T;s; 
a;AH;s; 
p,i,n;P,IH,N;s; IH
