as,'AE Z',s,'AE'
by,'B AY',s,'AY'
your,'Y AO R',s,'AO'
majesty,'M AE JH AH S T IY',s,'AE IY'
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
in,'IH N',s,'IH'
at,'AE T',s,'AE'
my,'M AY',s,'AY'
depart,'D IH P AA R T',s,'IH AA'
for,'F AO R',s,'AO'
as,'AE Z',s,'AE'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
marrry,'M AW r ǝ IH',s,'IH'
princess,'P R IH N S EH S',s,'IH'
for,'F AO R',s,'AO'
your,'Y AO R',s,'AO'
so,'S OW',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
famous,'F EY M AH S',s,'EY'
ancient,'EY N CH AH N T',s,'EY'
in,'IH N',s,'IH'
of,'AH V',s,''
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
seven,'S EH V AH N',s,''
barons,'B AE R AH N Z',s,'AE'
and,'AH N D',s,''
bishops,'B IH SH AH P S',s,'IH'
i,'AY',s,'AY'
my,'M AY',s,'AY'
task,'T AW S K',s,''
and,'AH N D',s,''
was,'W AA Z',s,'AA'
and,'AH N D',s,''
humbly,'HH AH M B L IY',s,'IY'
upon,'AH P AA N',s,'AA'
my,'M AY',s,'AY'
bended,'B EH N D IH D',s,'IH'
in,'IH N',s,'IH'
of,'AH V',s,''
england,'IH NG G L AH N D',s,'IH'
and,'AH N D',s,''
peers,'P IY R Z',s,'IY'
deliver,'D IH L IH V ǝ R',s,'IH IH'
up,'AH P',s,''
my,'M AY',s,'AY'
in,'IH N',s,'IH'
the,'DH AH',s,''
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
most,'M OW S T',s,''
that,'DH AE T',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
great,'G r e T',s,''
i,'AY',s,'AY'
did,'D IH D',s,'IH'
represent,'R EH P R AH Z EH N T',s,''
the,'DH AH',s,''
gift,'G IH F T',s,'IH'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
fairest,'F EH R ǝ S T',s,''
that,'DH AE T',s,'AE'
happiness,'HH AE P IY N AH S',s,'AE IY'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
so,'S OW',s,''
it,'IH T',s,'IH'
your,'Y AO R',s,'AO'
the,'DH AH',s,''
articles,'AA R T IH K ǝ L Z',s,'AA IH'
of,'AH V',s,''
contracted,'K AA N T R AE K T AH D',s,'AA AE'
between,'B IH T W IY N',s,'IH IY'
our,'OW R',s,''
and,'AH N D',s,''
the,'DH AH',s,''
french,'F R EH N CH',s,''
for,'F AO R',s,'AO'
concluded,'K AH N K L UW D AH D',s,'UW'
by,'B AY',s,'AY'
consent,'K AH N S EH N T',s,''
with,'W IH DH',s,'IH'
me,'M IY',s,'IY'
too,'T UW',s,'UW'
indeed,'IH N D IY D',s,'IH IY'
yours,'Y UH R Z',s,'UH'
against,'AH G EH N S T',s,''
the,'DH AH',s,''
of,'AH V',s,''
for,'F AO R',s,'AO'
the,'DH AH',s,''
commons,'K AA M AH N Z',s,'AA'
of,'AH V',s,''
knve,'N EY V',s,'EY'
who,'HH UW',s,'UW'
is,'IH Z',s,'IH'
this,'DH IH S',s,'IH'
in,'IH N',s,'IH'
and,'AH N D',s,''
send,'S EH N D',s,''
for,'F AO R',s,'AO'
his,'HH IH Z',s,'IH'
master,'M AW S T ǝ R',s,''
with,'W IH DH',s,'IH'
a,'AH',s,''
of,'AH V',s,''
your,'Y AO R',s,'AO'
matter,'M AW T ǝ R',s,''
the,'DH AH',s,''
madam,'M AE D AH M',s,'AE'
be,'B IY',s,'IY'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
england,'IH NG G L AH N D',s,'IH'
so,'S OW',s,''
will,'W IH L',s,'IH'
i,'AY',s,'AY'
in,'IH N',s,'IH'
england,'IH NG G L AH N D',s,'IH'
work,'W AO R K',s,'AO'
your,'Y AO R',s,'AO'
full,'F UH L',s,'UH'
content,'K ǝ N T e N T',s,''
and,'AH N D',s,''
he,'HH IY',s,'IY'
of,'AH V',s,''
that,'DH AE T',s,'AE'
can,'K AE N',s,'AE'
do,'D OW',s,''
most,'M OW S T',s,''
of,'AH V',s,''
all,'AA L',s,'AA'
cannot,'K AE N AA T',s,'AE AA'
do,'D OW',s,''
in,'IH N',s,'IH'
england,'IH NG G L AH N D',s,'IH'
than,'DH AE N',s,'AE'
the,'DH AH',s,''
and,'AH N D',s,''
no,'N OW',s,''
peers,'P IY R Z',s,'IY'
madam,'M AE D AH M',s,'AE'
myself,'M AY S EH L F',s,'AY'
a,'AH',s,''
bush,'B UH SH',s,'UH'
for,'F AO R',s,'AO'
and,'AH N D',s,''
placed,'P L EH S IH D',s,'IH'
a,'AH',s,''
of,'AH V',s,''
