lepidus,'L e P IH D ǝ S',s,'IH'
is,'IH Z',s,'IH'
as,'AE Z',s,'AE'
pinch,'P IH N CH',s,'IH'
another,'ǝ N ɤ DH ǝ R',s,''
by,'B AY',s,'AY'
the,'DH AH',s,''
disposition,'D IH S P AH Z IH SH AH N',s,'IH IH'
he,'HH IY',s,'IY'
cries,'K R AY Z',s,'AY'
out,'AW T',s,''
no,'N OW',s,''
them,'DH EH M',s,''
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
entreaty,'EH N T R IY T IY',s,'IY IY'
and,'AH N D',s,''
himself,'HH IH M S EH L F',s,'IH'
to,'T UW',s,'UW'
drink,'D R IH NG K',s,'IH'
whhy,'ʍ ǝ IH',s,'IH'
this,'DH IH S',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
a,'AH',s,''
in,'IH N',s,'IH'
great,'G r e T',s,''
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
as,'AE Z',s,'AE'
lief,'L IY F',s,'IY'
a,'AH',s,''
reed,'R IY D',s,'IY'
that,'DH AE T',s,'AE'
will,'W IH L',s,'IH'
do,'D OW',s,''
me,'M IY',s,'IY'
no,'N OW',s,''
as,'AE Z',s,'AE'
a,'AH',s,''
i,'AY',s,'AY'
not,'N AA T',s,'AA'
hve,'IY V',s,'IY'
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
forbid,'F ǝ R B IH D',s,'IH'
