content,'K ǝ N T e N T',s,''
content,'K ǝ N T e N T',s,''
we,'W IY',s,'IY'
to,'T UW',s,'UW'
you,'Y UW',s,'UW'
our,'OW R',s,''
friend,'F R EH N D',s,''
and,'AH N D',s,''
therefre,'DH EH R F AO R',s,'AO'
you,'Y UW',s,'UW'
our,'OW R',s,''
voices,'V OY S AH Z',s,''
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
you,'Y UW',s,'UW'
no,'N OW',s,''
no,'N OW',s,''
no,'N OW',s,''
man,'M AE N',s,'AE'
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
so,'S OW',s,''
almost,'AA L M OW S T',s,'AA'
all,'AA L',s,'AA'
repent,'R IH P EH N T',s,'IH'
in,'IH N',s,'IH'
their,'DH EH R',s,''
election,'IH L EH K SH AH N',s,'IH'
