you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
be,'B IY',s,'IY'
you,'Y UW',s,'UW'
upon,'AH P AA N',s,'AA'
you,'Y UW',s,'UW'
so,'S OW',s,''
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
pastre,'P AE S CH ER',s,'AE'
you,'Y UW',s,'UW'
ready,'R EH D IY',s,'IY'
for,'F AO R',s,'AO'
death,'D EH TH',s,''
is,'IH Z',s,'IH'
the,'DH AH',s,''
if,'IH F',s,'IH'
you,'Y UW',s,'UW'
be,'B IY',s,'IY'
ready,'R EH D IY',s,'IY'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
well,'W EH L',s,''
a,'AH',s,''
heavy,'e V ǝ IH',s,'IH'
for,'F AO R',s,'AO'
you,'Y UW',s,'UW'
but,'B AH T',s,''
the,'DH AH',s,''
comfort,'K ɤ M F ǝ R T',s,''
is,'IH Z',s,'IH'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
to,'T UW',s,'UW'
no,'N OW',s,''
fear,'F IY R',s,'IY'
no,'N OW',s,''
tavern,'T AW V ǝ R N',s,''
the,'DH AH',s,''
sadness,'S AE D N AH S',s,'AE'
of,'AH V',s,''
parting,'P AA R T · IH N',s,'AA IH'
as,'AE Z',s,'AE'
the,'DH AH',s,''
procuring,'P R OW K Y UH R IH NG',s,'UH IH'
of,'AH V',s,''
mirth,'M ɐ R TH',s,''
you,'Y UW',s,'UW'
in,'IH N',s,'IH'
faint,'F EH N T',s,''
for,'F AO R',s,'AO'
want,'W AA N T',s,'AA'
of,'AH V',s,''
meat,'M IY T',s,'IY'
depart,'D IH P AA R T',s,'IH AA'
with,'W IH DH',s,'IH'
too,'T UW',s,'UW'
drink,'D R IH NG K',s,'IH'
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
paid,'P EY D',s,'EY'
too,'T UW',s,'UW'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
paid,'P EY D',s,'EY'
too,'T UW',s,'UW'
and,'AH N D',s,''
brain,'B r EH N',s,''
