our,'OW R',s,''
hath,'HH AE TH',s,'AE'
this,'DH IH S',s,'IH'
an,'AE N',s,'AE'
end,'EH N D',s,''
the,'DH AH',s,''
whom,'HH UW M',s,'UW'
of,'AH V',s,''
we,'W IY',s,'IY'
returns,'r IH T ɐ R N Z',s,'IH'
us,'AH S',s,''
that,'DH AE T',s,'AE'
his,'HH IH Z',s,'IH'
yet,'Y EH T',s,''
not,'N AA T',s,'AA'
ready,'R EH D IY',s,'IY'
to,'T UW',s,'UW'
so,'S OW',s,''
great,'G r e T',s,''
a,'AH',s,''
therefre,'DH EH R F AO R',s,'AO'
great,'G r e T',s,''
we,'W IY',s,'IY'
yield,'Y IY L D',s,'IY'
our,'OW R',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
soft,'S AA F T',s,'AA'
enter,'e N T ǝ R',s,''
our,'OW R',s,''
of,'AH V',s,''
us,'AH S',s,''
and,'AH N D',s,''
ours,'OW R Z',s,''
for,'F AO R',s,'AO'
we,'W IY',s,'IY'
no,'N OW',s,''
longer,'L ɒ NG G ǝ R',s,''
