thus,'DH ɤ S',s,''
the,'DH AH',s,''
english,'IH NG G L IH SH',s,'IH IH'
with,'W IH DH',s,'IH'
full,'F UH L',s,'UH'
upon,'AH P AA N',s,'AA'
us,'AH S',s,''
and,'AH N D',s,''
than,'DH AE N',s,'AE'
it,'IH T',s,'IH'
us,'AH S',s,''
to,'T UW',s,'UW'
in,'IH N',s,'IH'
our,'OW R',s,''
defenses,'D IH F EH N S AH Z',s,'IH'
therefre,'DH EH R F AO R',s,'AO'
the,'DH AH',s,''
of,'AH V',s,''
berri,'B EH R IY',s,'IY'
and,'AH N D',s,''
of,'AH V',s,''
brittany,'B R IH T AH N IY',s,'IH IY'
of,'AH V',s,''
brabant,'B R AA B AH N T',s,'AA'
and,'AH N D',s,''
of,'AH V',s,''
shall,'SH AE L',s,'AE'
forth,'F AO R TH',s,'AO'
and,'AH N D',s,''
you,'Y UW',s,'UW'
with,'W IH DH',s,'IH'
all,'AA L',s,'AA'
swift,'S W IH F T',s,'IH'
to,'T UW',s,'UW'
and,'AH N D',s,''
our,'OW R',s,''
of,'AH V',s,''
war,'W AO R',s,'AO'
with,'W IH DH',s,'IH'
men,'M EH N',s,''
of,'AH V',s,''
and,'AH N D',s,''
with,'W IH DH',s,'IH'
means,'M IY N Z',s,'IY'
defendant,'D IH F EH N D AH N T',s,'IH'
for,'F AO R',s,'AO'
england,'IH NG G L AH N D',s,'IH'
his,'HH IH Z',s,'IH'
appproaches,'ǝ P r OW T SH IH Z',s,'IH'
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
waters,'W AA T ǝ R Z',s,'AA'
to,'T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
a,'AH',s,''
gulf,'G AH L F',s,''
it,'IH T',s,'IH'
fits,'F IH T S',s,'IH'
us,'AH S',s,''
then,'DH EH N',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
as,'AE Z',s,'AE'
provident,'P R AA V IH D AH N T',s,'AA IH'
as,'AE Z',s,'AE'
fear,'F IY R',s,'IY'
teach,'T IY CH',s,'IY'
us,'AH S',s,''
out,'AW T',s,''
