the,'DH AH',s,''
ho,'HH OW',s,''
and,'AH N D',s,''
stand,'S T AE N D',s,'AE'
he,'HH IY',s,'IY'
is,'IH Z',s,'IH'
at,'AE T',s,'AE'
and,'AH N D',s,''
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
do,'D OW',s,''
you,'Y UW',s,'UW'
from,'F R AH M',s,''
his,'HH IH Z',s,'IH'
master,'M AW S T ǝ R',s,''
with,'W IH DH',s,'IH'
and,'AH N D',s,''
with,'W IH DH',s,'IH'
respect,'R IH S P EH K T',s,'IH'
but,'B AH T',s,''
not,'N AA T',s,'AA'
with,'W IH DH',s,'IH'
instances,'IH N S T AH N S AH Z',s,'IH'
nor,'N AO R',s,'AO'
with,'W IH DH',s,'IH'
free,'F R IY',s,'IY'
and,'AH N D',s,''
friendly,'F r e N L ǝ IH',s,'IH'
conferece,'K AA N F ER AH N S',s,'AA'
as,'AE Z',s,'AE'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
used,'Y UW Z D',s,'UW'
of,'AH V',s,''
old,'OW L D',s,''
mean,'M IY N',s,'IY'
this,'DH IH S',s,'IH'
in,'IH N',s,'IH'
sardis,'S AA R D IH S',s,'AA IH'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
quartered,'K W AA R T ǝ R D',s,'AA'
the,'DH AH',s,''
greater,'G r e T ǝ R',s,''
part,'P AA R T',s,'AA'
the,'DH AH',s,''
in,'IH N',s,'IH'
with,'W IH DH',s,'IH'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
them,'DH EH M',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
and,'AH N D',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
brutus,'B R UW T AH S',s,'UW'
marcus,'M AA R K AH S',s,'AA'
brutus,'B R UW T AH S',s,'UW'
i,'AY',s,'AY'
brutus,'B R UW T AH S',s,'UW'
my,'M AY',s,'AY'
friend,'F R EH N D',s,''
me,'M IY',s,'IY'
for,'F AO R',s,'AO'
brutus,'B R UW T AH S',s,'UW'
o,'OW',s,''
and,'AH N D',s,''
cato,'K EY T OW',s,'EY'
art,'AA R T',s,'AA'
thou,'DH AW',s,''
down,'D ǝ UH N',s,'UH'
whhy,'ʍ ǝ IH',s,'IH'
thou,'DH AW',s,''
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
and,'AH N D',s,''
be,'B IY',s,'IY'
being,'B IY IH NG',s,'IY IH'
son,'S AO ̃',s,'AO'
only,'OW N L IY',s,'IY'
i,'AY',s,'AY'
yield,'Y IY L D',s,'IY'
to,'T UW',s,'UW'
is,'IH Z',s,'IH'
so,'S OW',s,''
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
wilt,'W IH L T',s,'IH'
kill,'K IH L',s,'IH'
me,'M IY',s,'IY'
kill,'K IH L',s,'IH'
brutus,'B R UW T AH S',s,'UW'
and,'AH N D',s,''
be,'B IY',s,'IY'
in,'IH N',s,'IH'
his,'HH IH Z',s,'IH'
death,'D EH TH',s,''
antony,'AE N T AH N IY',s,'AE IY'
brutus,'B R UW T AH S',s,'UW'
is,'IH Z',s,'IH'
i,'AY',s,'AY'
thee,'DH IY',s,'IY'
that,'DH AE T',s,'AE'
no,'N OW',s,''
enemy,'EH N AH M IY',s,'IY'
shall,'SH AE L',s,'AE'
the,'DH AH',s,''
brutus,'B R UW T AH S',s,'UW'
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
defend,'D IH F EH N D',s,'IH'
him,'HH IH M',s,'IH'
from,'F R AH M',s,''
so,'S OW',s,''
great,'G r e T',s,''
a,'AH',s,''
when,'ʍ e N',s,''
you,'Y UW',s,'UW'
do,'D OW',s,''
him,'HH IH M',s,'IH'
or,'AO R',s,'AO'
or,'AO R',s,'AO'
dead,'D EH D',s,''
he,'HH IY',s,'IY'
will,'W IH L',s,'IH'
be,'B IY',s,'IY'
brutus,'B R UW T AH S',s,'UW'
himself,'HH IH M S EH L F',s,'IH'
so,'S OW',s,''
brutus,'B R UW T AH S',s,'UW'
be,'B IY',s,'IY'
thank,'TH AE NG K',s,'AE'
thee,'DH IY',s,'IY'
brutus,'B R UW T AH S',s,'UW'
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
true,'T R UW',s,'UW'
