his,'HH IH Z',s,'IH'
majesty,'M AE JH AH S T IY',s,'AE IY'
went,'W EH N T',s,''
into,'IH N T UW',s,'IH UW'
the,'DH AH',s,''
field,'F IY L D',s,'IY'
i,'AY',s,'AY'
seen,'S IY N',s,'IY'
from,'F R AH M',s,''
bed,'B EH D',s,''
upon,'AH P AA N',s,'AA'
unlock,'AH N L AA K',s,'AA'
closet,'K L AA Z AH T',s,'AA'
forth,'F AO R TH',s,'AO'
paper,'P EH P ǝ R',s,''
fold,'F OW L D',s,''
it,'IH T',s,'IH'
upon,'AH P AA N',s,'AA'
read,'r e D',s,''
it,'IH T',s,'IH'
seal,'S IY L',s,'IY'
it,'IH T',s,'IH'
and,'AH N D',s,''
again,'ǝ ɡ EH N',s,''
return,'r IH T ɐ R N',s,'IH'
to,'T UW',s,'UW'
bed,'B EH D',s,''
yet,'Y EH T',s,''
all,'AA L',s,'AA'
this,'DH IH S',s,'IH'
in,'IH N',s,'IH'
a,'AH',s,''
most,'M OW S T',s,''
fast,'F AW S T',s,''
sleep,'S L IY P',s,'IY'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
report,'r IH P AO R T',s,'IH AO'
after,'AW F T ǝ R',s,''
neither,'N EH DH ǝ R',s,''
to,'T UW',s,'UW'
you,'Y UW',s,'UW'
nor,'N AO R',s,'AO'
no,'N OW',s,''
witness,'W IH T N AH S',s,'IH'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
speech,'S P IY CH',s,'IY'
lo,'L OW',s,''
you,'Y UW',s,'UW'
she,'SH IY',s,'IY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
very,'V EH R IY',s,'IY'
and,'AH N D',s,''
upon,'AH P AA N',s,'AA'
my,'M AY',s,'AY'
fast,'F AW S T',s,''
asleep,'AH S L IY P',s,'IY'
obseve,'AH B Z ER V',s,''
stand,'S T AE N D',s,'AE'
whhy,'ʍ ǝ IH',s,'IH'
it,'IH T',s,'IH'
stood,'S T UH D',s,'UH'
by,'B AY',s,'AY'
she,'SH IY',s,'IY'
by,'B AY',s,'AY'
command,'K ǝ M AW N D',s,''
but,'B AH T',s,''
their,'DH EH R',s,''
shut,'SH AH T',s,''
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
an,'AE N',s,'AE'
action,'AE K SH AH N',s,'AE'
with,'W IH DH',s,'IH'
to,'T UW',s,'UW'
seem,'S IY M',s,'IY'
thus,'DH ɤ S',s,''
i,'AY',s,'AY'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
a,'AH',s,''
of,'AH V',s,''
an,'AE N',s,'AE'
she,'SH IY',s,'IY'
what,'W AH T',s,''
she,'SH IY',s,'IY'
not,'N AA T',s,'AA'
i,'AY',s,'AY'
am,'AE M',s,'AE'
of,'AH V',s,''
that,'DH AE T',s,'AE'
heaven,'HH EH V AH N',s,''
what,'W AH T',s,''
she,'SH IY',s,'IY'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
a,'AH',s,''
heart,'HH AA R T',s,'AA'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
bosom,'B UH Z AH M',s,'UH'
for,'F AO R',s,'AO'
the,'DH AH',s,''
dignity,'D IH G N AH T IY',s,'IH IY'
of,'AH V',s,''
the,'DH AH',s,''
body,'B AA D IY',s,'AA IY'
god,'G AA D',s,'AA'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
good,'G UH D',s,'UH'
good,'G UH D',s,'UH'
