it,'IH T',s,'IH'
was,'W AA Z',s,'AA'
so,'S OW',s,''
your,'Y AO R',s,'AO'
you,'Y UW',s,'UW'
it,'IH T',s,'IH'
to,'T UW',s,'UW'
us,'AH S',s,''
we,'W IY',s,'IY'
men,'M EH N',s,''
my,'M AY',s,'AY'
and,'AH N D',s,''
i,'AY',s,'AY'
another,'ǝ N ɤ DH ǝ R',s,''
so,'S OW',s,''
with,'W IH DH',s,'IH'
with,'W IH DH',s,'IH'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
set,'S EH T',s,''
my,'M AY',s,'AY'
on,'AA N',s,'AA'
to,'T UW',s,'UW'
mend,'M EH N D',s,''
it,'IH T',s,'IH'
or,'AO R',s,'AO'
be,'B IY',s,'IY'
rid,'R IH D',s,'IH'
on,'AA N',s,'AA'
true,'T R UW',s,'UW'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
our,'OW R',s,''
we,'W IY',s,'IY'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
but,'B AH T',s,''
who,'HH UW',s,'UW'
did,'D IH D',s,'IH'
bid,'B IH D',s,'IH'
thee,'DH IY',s,'IY'
join,'JH OY N',s,''
with,'W IH DH',s,'IH'
us,'AH S',s,''
then,'DH EH N',s,''
stand,'S T AE N D',s,'AE'
with,'W IH DH',s,'IH'
us,'AH S',s,''
the,'DH AH',s,''
west,'W EH S T',s,''
yet,'Y EH T',s,''
with,'W IH DH',s,'IH'
streaks,'S T R IY K S',s,'IY'
of,'AH V',s,''
spurs,'S P ɐ R Z',s,''
the,'DH AH',s,''
lated,'L EH T IH D',s,'IH'
to,'T UW',s,'UW'
gain,'G EH N',s,''
the,'DH AH',s,''
inn,'IH N',s,'IH'
and,'AH N D',s,''
near,'N IY R',s,'IY'
appproaches,'ǝ P r OW T SH IH Z',s,'IH'
the,'DH AH',s,''
subject,'S AH B JH EH K T',s,''
of,'AH V',s,''
our,'OW R',s,''
watch,'W AA T SH',s,'AA'
his,'HH IH Z',s,'IH'
horses,'HH AO R S AH Z',s,'AO'
go,'G OW',s,''
stand,'S T AE N D',s,'AE'
to,'T UW',s,'UW'
let,'L EH T',s,''
it,'IH T',s,'IH'
down,'D ǝ UH N',s,'UH'
was,'W AA Z',s,'AA'
not,'N AA T',s,'AA'
the,'DH AH',s,''
well,'W EH L',s,''
and,'AH N D',s,''
is,'IH Z',s,'IH'
banquo's,'B AE NG K W OW Z',s,'AE'
then,'DH EH N',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
his,'HH IH Z',s,'IH'
is,'IH Z',s,'IH'
cut,'K ɤ T',s,''
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
did,'D IH D',s,'IH'
for,'F AO R',s,'AO'
him,'HH IH M',s,'IH'
most,'M OW S T',s,''
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
good,'G UH D',s,'UH'
lord,'L AO R D',s,'AO'
in,'IH N',s,'IH'
a,'AH',s,''
he,'HH IY',s,'IY'
with,'W IH DH',s,'IH'
gashes,'G AE SH AH Z',s,'AE'
on,'AA N',s,'AA'
his,'HH IH Z',s,'IH'
the,'DH AH',s,''
least,'L IY S T',s,'IY'
a,'AH',s,''
death,'D EH TH',s,''
to,'T UW',s,'UW'
natre,'N EY CH ER',s,'EY'
