fair,'F EH R',s,''
and,'AH N D',s,''
you,'Y UW',s,'UW'
my,'M AY',s,'AY'
merrry,'M e r ǝ IH',s,'IH'
mistress,'M IH S T R AH S',s,'IH'
that,'DH AE T',s,'AE'
with,'W IH DH',s,'IH'
your,'Y AO R',s,'AO'
me,'M IY',s,'IY'
my,'M AY',s,'AY'
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
pisa,'P IY S AH',s,'IY'
and,'AH N D',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
to,'T UW',s,'UW'
to,'T UW',s,'UW'
visit,'V IH Z AH T',s,'IH'
a,'AH',s,''
son,'S AO ̃',s,'AO'
of,'AH V',s,''
i,'AY',s,'AY'
not,'N AA T',s,'AA'
seen,'S IY N',s,'IY'
but,'B AH T',s,''
is,'IH Z',s,'IH'
this,'DH IH S',s,'IH'
true,'T R UW',s,'UW'
or,'AO R',s,'AO'
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
your,'Y AO R',s,'AO'
pleasre,'P L EH ZH ER',s,''
pleasant,'P L EH Z AH N T',s,''
to,'T UW',s,'UW'
break,'B R EY K',s,'EY'
a,'AH',s,''
jest,'JH EH S T',s,''
upon,'AH P AA N',s,'AA'
the,'DH AH',s,''
company,'K AH M P AH N IY',s,'IY'
you,'Y UW',s,'UW'
overtke,'OW V ER T EY K',s,'EY'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
but,'B AH T',s,''
drink,'D R IH NG K',s,'IH'
you,'Y UW',s,'UW'
go,'G OW',s,''
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
command,'K ǝ M AW N D',s,''
your,'Y AO R',s,'AO'
and,'AH N D',s,''
by,'B AY',s,'AY'
all,'AA L',s,'AA'
likelihood,'L ǝ IH K L IH ˌ UH D',s,'IH IH UH'
is,'IH Z',s,'IH'
is,'IH Z',s,'IH'
within,'W IH DH IH N',s,'IH IH'
what,'W AH T',s,''
if,'IH F',s,'IH'
a,'AH',s,''
man,'M AE N',s,'AE'
him,'HH IH M',s,'IH'
a,'AH',s,''
or,'AO R',s,'AO'
to,'T UW',s,'UW'
merrry,'M e r ǝ IH',s,'IH'
withal,'W IH DH AA L',s,'IH AA'
art,'AA R T',s,'AA'
thou,'DH AW',s,''
his,'HH IH Z',s,'IH'
you,'Y UW',s,'UW'
what,'W AH T',s,''
you,'Y UW',s,'UW'
forgot,'F ǝ R G ɒ T',s,''
me,'M IY',s,'IY'
what,'W AH T',s,''
you,'Y UW',s,'UW'
villain,'V IH L AH N',s,'IH'
thou,'DH AW',s,''
never,'N e V ǝ R',s,''
see,'S IY',s,'IY'
is,'IH Z',s,'IH'
so,'S OW',s,''
indeed,'IH N D IY D',s,'IH IY'
what,'W AH T',s,''
am,'AE M',s,'AE'
i,'AY',s,'AY'
what,'W AH T',s,''
you,'Y UW',s,'UW'
o,'OW',s,''
immortal,'IH M AO R T AH L',s,'IH AO'
gods,'G AA D Z',s,'AA'
o,'OW',s,''
villain,'V IH L AH N',s,'IH'
a,'AH',s,''
silken,'S IH L K AH N',s,'IH'
doublet,'D ɤ B L IH T',s,'IH'
a,'AH',s,''
velvet,'V EH L V AH T',s,''
a,'AH',s,''
cloak,'K L OW K',s,''
and,'AH N D',s,''
a,'AH',s,''
copatain,'K ɒ P ǝ T EH N',s,''
o,'OW',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
i,'AY',s,'AY'
the,'DH AH',s,''
good,'G UH D',s,'UH'
at,'AE T',s,'AE'
hme,'OW M',s,''
my,'M AY',s,'AY'
son,'S AO ̃',s,'AO'
and,'AH N D',s,''
my,'M AY',s,'AY'
servant,'S ɐ R V ǝ N T',s,''
spend,'S P EH N D',s,''
all,'AA L',s,'AA'
at,'AE T',s,'AE'
the,'DH AH',s,''
university,'Y UW N AH V ER S AH T IY',s,'UW IY'
o,'OW',s,''
villain,'V IH L AH N',s,'IH'
he,'HH IY',s,'IY'
is,'IH Z',s,'IH'
a,'AH',s,''
in,'IH N',s,'IH'
his,'HH IH Z',s,'IH'
as,'AE Z',s,'AE'
if,'IH F',s,'IH'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
his,'HH IH Z',s,'IH'
i,'AY',s,'AY'
him,'HH IH M',s,'IH'
up,'AH P',s,''
he,'HH IY',s,'IY'
was,'W AA Z',s,'AA'
years,'Y IH R Z',s,'IH'
old,'OW L D',s,''
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
is,'IH Z',s,'IH'
o,'OW',s,''
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
his,'HH IH Z',s,'IH'
master,'M AW S T ǝ R',s,''
on,'AA N',s,'AA'
him,'HH IH M',s,'IH'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
in,'IH N',s,'IH'
the,'DH AH',s,''
o,'OW',s,''
my,'M AY',s,'AY'
son,'S AO ̃',s,'AO'
my,'M AY',s,'AY'
son,'S AO ̃',s,'AO'
tell,'T EH L',s,''
me,'M IY',s,'IY'
thou,'DH AW',s,''
villain,'V IH L AH N',s,'IH'
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
son,'S AO ̃',s,'AO'
carrry,'K AW r ǝ IH',s,'IH'
me,'M IY',s,'IY'
to,'T UW',s,'UW'
the,'DH AH',s,''
jail,'JH EY L',s,'EY'
thus,'DH ɤ S',s,''
be,'B IY',s,'IY'
and,'AH N D',s,''
abused,'ǝ B Y UW Z D',s,'UW'
o,'OW',s,''
villain,'V IH L AH N',s,'IH'
